separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
Marqueté,,,inlaid,,,adj.,Cot,,,,,p015v_1,,,,,,,
Marroquin,,,Morocco (Spanish goat leather),,maroquin,n.(m),,,,,,,,,,,,,
Martine,martinet,,trip hammer,,,n.(m),DAF,,,,149r,,,,,,,,
Maslée,,,"Meaning uncertain, could refer to the ""cascabel"", the projection behind the breech of a muzzle-loading cannon",,,n.(f),,,,,p019r,,,,,,,,x
Mastic,,,mastic,,,n.(m),,,,,,,,,,,,,
Massicot,,,lead-tin yellow (pigment),,,n.(m),Cot | DMF | PG,,,,,,,,,,,,
Matiere,,,substance,,,n.(f),,,,,8v,,,,,,,,
Mattelas,,,mattrass (long-necked glass vessel),,matras,n.(m),Cot,,,,,,,,,,,,
Matton,,,large brick for paving,,,n.(m),,,,,,,,,,amatonner,,,
Mectre,,,to put,,mettre,v.,,,,,,,,,,,,,
Mectre en besoigne,besogne,,to put to use,,mettre,v.,,,,,,,,mectre en oeuvre,,,,,
Mectre en oeuvre,,1,to put to use,,mettre,v.,,,,,"49r 63r, 68r, 72v, 84r, 106v",,,mectre en besoigne,,,,,
Mectre en oeuvre,,2,to mount (e.g. jewellery),,mettre,v.,,,,,"15v, 38r",,,,,,,,
Medaille,,,medal (including coins),,,n.(f),,,,,"122v, 170r",,,,,,,,
Médiocrement,,,moderately,,,adv.,Cot,,,,,,,,,,,,
Membrure,,,a piece of wood,,,n.(f),DMF,,,,,,,,,,,,
Mener,,,to drive (hammering metal),,,v.,Cot,,,,,p032r_1,,,,,,,
Menu (par le),,,by retail,,,n.(m),Cot,,,,9r 38v,,,,,,,,
Menu (compte par le),,,retail account,,,n.(m),Cot,,,,,,,,,,,,
Metal,,1,metal (in general),,,n.(m),,,,,,,,,,,,,
Metal,,2,a specific variety of bronze used in bells and petards,,,n.(m),DMF,,,,,,,,,,,,
Metalline,,,Meaning uncertain. It seems to refer to an additive which makes tin look like silver,,,n.(f),,,,,"115v, 129r",,,,,,,,x
Métaux (grands),,,"great metals (not a clear-cut category; for the author-practitioner, it includes copper and latten)",,,n.(mpl),,,,,86v,,,,,,,,
Mericoton,,,"possibly a wild peach, Prunus persica var. persica Batsch. Peaches in general are called pesches in Fr. 640. This is a big yellow peach also known as “Pavie” in mod. Fr. Often just called peach in English today (vs ""melicotony"" in the 18th c.)",,mirlicoton,n.(m),,,,,,,,,,,,,
Mesler,meller,,to mix,,mêler,v.,,,,,,,,,,,,,
Mie de pain,,,bread pith (the inner part of a loaf),,,n.(f),,,,,,,,miette,,esmier,,,
Miel rosat,,,rose honey,,,n.(m),Cot,,,,,,,,,,,,
Miette,,,"crumb, bread pith",,,n.(f),,,,, 140v,,,mie,,,,,
Millet,mil,,"millet (a variety of common barley, of which a very coarse bread is made, especially in the South of France)",,,n.(m),"Littré | Les appellations des Céréales en Afrique, p. 15 fn. 1.",http://www.persee.fr/doc/jatba_0021-7662_1958_num_5_1_2452,,,,,,,,,,,
Mine,,1,measure of grain and dry goods between 110-120 English pounds or half a setier,,,n.(f),Cot | DMF,,,,,,,,,,,,
Mine,,2,measure of land,,,,Cot ,,,,,,,,,,,,
Mine,,3,"mine, source, quarry, or cave dug in the ground",,,,Cot | DMF,,,,,,,,,,,,
Mine,,4,vein of metal,,,,Cot ,,,,,,,,,,,,
Mine,,5,"ore, mineral, mineral specimen",,,,DMF,,,,,,,,,,,,
Mine,,,"minium (red pigment, usually lead-based)",,,n.(m),DMF,,ann_041_sp_16,,,,,minium,,,,,
Mineron,,,"miner (mine worker, smelter)",,,n.(m),"Description des gîtes de minerai, des forges et des salines… (1731) | Recueil général des questions traitées dans les conférences du bureau d’adresse",https://books.google.fr/books?id=zYBlAAAAcAAJ&pg=PA191&dq=%22les+minerons%22&hl=fr&sa=X&ved=0ahUKEwjp_8q5mYXcAhVEPxQKHV8RDXwQ6AEIKjAA#v=onepage&q=%22les%20minerons%22&f=false | https://books.google.fr/books?id=HKcTAAAAQAAJ&pg=PA429&dq=%22les+minerons%22&hl=fr&sa=X&ved=0ahUKEwjp_8q5mYXcAhVEPxQKHV8RDXwQ6AEIVTAI#v=onepage&q=%22les%20minerons%22&f=false,,,,,,,,,,,
Minium,,,minium (red pigment),,,n.(m),,,,,,,,mine,,,,,
Mire,,,gun-sight,,,n.(f),,,,,,,,,,,,,
Mirer,,,to aim,,,v.,Cot,,,,,,,,,,,,
Mirouer,,,mirror,,miroir,n.(m),Cot,,,,,,,,,estaim de glace,,,
Mitraille,,,debris (in particular of brass and copper),,,n.(f),"Lespinasse, Les métiers et les corporations de la ville de Paris.",,,,,,,,,,,,
Mixtion,mistion,,mix,,,n.(f),,,,,,,,,,,,,
Modelle,,,model,,modèle,n.(m),,,,,,,,,,,,,
Molée,,,the grindings from sharpening (powder made up of stone and metal particles left over from sharpening metal tools on a whetstone),,,,DMF,,,,,,,,,,,"TT: should this be ""grounds"" rather than ""grindings""? Grindings in the sense of leftover dust is not in the OED",
Mollesin,,,"soft, delicate",,,adj.,LAF | TLF,,,,,,,,,,,,
Molettes,,,pincers,,,n.(fpl),Cot,,,,129v,,,,,,,,
Monceau,,,mound,,,n.(m),,,,,,,,,,,,,
Montre,monstre,,"example, specimen",,,n.(f),Cot,,,,,p118r_a3,,,,,,,
Mordre,,,to bite,,,v.,,,,,,,,,,,,,
Moresque,,x,"Meaning uncertain, but likely a ""moresque"" ornament, imitating Ottoman fabrics. By itself the word is used for forms found in ornament and decoration in the applied arts in Europe. In early seventeenth-century English, it could more specifically mean a grotesque ornament)",,,n.(f),,,,,,,,,,,,,
Morfondu (être),,,to have a cold,,,v.,Cot,,,,,,,,,,,,
Morrion,,,"morion (open-faced helmet with cheek pieces and a brim, either with a comb or a point on top)",,morion,n.(m),,,,,,,,,,,,,
Mortier,,1,"mortar (grinding tool, as in mortar and pestle)",,,n.(m),,,,,,,,,,,,,
Mortier,,2,petard (artillery. Note that mortier and the English “mortar” refer to an artillery piece which fires at high angles; BUT the author-practitioners also uses “mortier” for a bomb which in English was known as a petard),,,,"OED | Robert Norton, The gunner, 1628, p. 63",,,,,,,,,,,,
Motte,,,lump,,,n.(f),Cot,,,,,,,,,,,,
Moufle,,,mitten-like,,,adj.,DMF,,,,,19v_3,,,,,,,
Mouiller,,,to wet,,,v.,,,,,,,,,,humecter,,,
Moule,moulle | molle,,mold,,moule,n.(m),,,,,,,,,,,,,
Moulée,moullée,,"a type of sand for molding that is the byproduct of sharpening knives and scissor; it occurs twice on fol. 73r, where the scribe has left it blank and the a-p has filled in the word
",,,n.(f),,,,,,,,,,,,,
Mouler en cave,,,to mold hollow,,,v.,,,,,153r,,,,,,,,
Moulets,,,TBD,,,n. (mpl),,,,,136r,,,,,,,,
Moller,,,"to soften? AND has moller as variant of mollir. p104r_4 (TT). — Linguistically too distant, also considering he always says (r)amollir. Is softening what is needed in that process? (MHS)
",,mouler,,,,,,,,,,,,,,
Mouler en creux,,,to mold hollow,,,v.,,,,,12r.,,,mouler en cave,,,,,
Mouler en relief,,,to mold in relief,,,v.,,,,,12r,,,,,,,,
Mouleure de tableaulx,,,molding for panels,,,n.(f),,,,,66r,,,,,,,,
Mourir (se),,,"to die (for colors, in the sense of fading away)",,,v.,,,,,,,,,,,,,
Mousquet,,,"musket (musket also means sparrohawk, a small bird of prey, deriving from the French. The name was probably first given to small artillery pieces (see e.g. falcon) before it came to denote a hand-held long-barelled firearm)",,,n.(m),OED,,,,,,,,,,,,
Moyenne,,,moyen (cannon of intermediate size),,couleuvrine moyenne,n.(f),,,,,,,,,,,,,
Moyennement,,,moderately,,,adv.,Cot,,,,,p057v_1,,,,,,,
Mucilagineulx,,,mucilaginous,,mucilagineux,adj.,,,,,,16v,,,,,,,
Muer,,,to shed (of an animal with fur),,,v.,,,,,,,,,,,,,
Mundifier,mondifier,,to purify,,,v.,Cot.,,,,,,,,,,,,
Muraillle,,,wall (usually thick or exterior one),,,n.(f),DMF,,,,,,,,,,,,
Muy,,,muid,,,n.(m),Cot.,,,,,p056r_1,,,,,,,
,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,
Naifvement,,,"exactly, faithfully, truly",,naïvement,,Cot | LAF,,,,,,,,,,,,
Natte,,,mat,,,,Cot,,,,,,,,,,,,
Naturel,,,"natural, according to nature",,,adj.,Cot,,,,,,,,,,,,
Naturel,,,"nature, natural disposition, innate property or quality",,,n.(m),"Cot | Igenuity Project, Logodaedalus",,,,,,,,,,,,
Naturel (paindre au),,,to paint from nature,,,v.,,,,,,,,,,,,,
Net,,1,"neat, clean",,,adj.,Cot | DMF,,,,,,,,,,,,
Net,,2,brisk (of the color of glass),,,,,,,,,,,,,,,,
Nettement,,,neatly,,,adv.,Cot,,,,,p041v_3,,,,,,,
Niel,,,"niello (decorations on silver in a black enamel made of lead, copper, silver, and ammonia salt )",,,,HauteHorlogerie,http://www.hautehorlogerie.org/fr/encyclopedie/lexique-de-lhorlogerie/s/nielle-ou-niel/,,,41v,,,,,,,,
Noir à huile,,,"Meaning uncertain, likely a black pigment; in the ms it seems to be specific to painting on glass",,,,,,,,,p037v_2 | p039v_3,,,,,,,
Noir à noircir,,,soot black,,noir de fumée,,,,,,,,,,,,,,
Noir d’escaille,,,"a black pigment, possibly made from hammer scale, known as scales black in English",,noir d'écaille,,,,Pilko (Amsterdam),,,p031v_4,,,,,,,
Noir de charbon de pierre,,,"unidentified black pigment, possibly based on mineral coal",,,n.(m),,,,,,p063v_1,,,,,,,
Noir de lampe,,,lampblack,,,n.(m),,,,,,,,,,,,,
Noir d’os de pêche,,,peach black (black pigment made by charring peach stones and grinding the product. Percarum Lapidum refers to the prepared peach stones),,,n.(m),PG,,,,,,,,,,,,
Noix,,,"walnut (often used as an approximate measure for an amount of material ""the size of a walnut"")",,,n.(f),,,,,,,,,,,,,
Noyau,,,"noyau is used in Ms. Fr. 640 to mean “core,” that is, the inner block in a mold that allows casting a figure with a hollow core or center. Another name for such a “core” in French is âme. Félibien and Cellini use the two terms interchangeably (anima and nocciolo in Italian). The author-practitioner uses “ame” once on fol. 124r to mean core, but he seems to be contrasting it to the “noyau” by which he seems to mean the outer plaster mold. He contrasts molding and casting “en chassis” with that done “en noyau,” meaning molding with plaster either in one-piece or multi-piece molds. ",,,n.(m),"Félibien, Des principes de l'architecture, de la sculpture, de la peinture, et des autres arts qui en dépendent (Paris: Coignard, 1697) p. 342 | Benvenuto Cellini, I trattati dell’oreficeria e della scultura (Florence: Le Monnier, 1857) p. 164-173",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,
Ochre de ru,ochre de rux,,a type of yellow ochre,,,n.(m),PG,,ann_042_sp_16,,,,,,,,,"NB: There is no ""ochre"" in the TCN, nor is there any ""rux"" in the TCN, so the head word and the alternate spellings are wrong. Should be ""ocre de ru"" and nothing else",
Œillet,,1,carnation,,,n.(m),,,,,159v,,,,,,,,
,,2,eyelet (burst bubble),,,n.(m),,,,,,,,,,,,,
,,3,"related to grafting. Cot defines as a young bud of a tree, and the A-P gives it as the proper name ",,,n.(m),Cot,,,,105r,,,,,,,,
Oindre,,,"to annoint, in the sense of greasing of smearing with an unguent",,,v.,Cot,,,,,,,,,,,,
Onglet,,,"a type of chisel, for fine engraving or chasing",,,n.(m),Enc,http://portail.atilf.fr/cgi-bin/getobject_?p.83:97./var/artfla/encyclopedie/textdata/image/,,,,,,,,burin,,,
Or bel,,,"tinsel (leaf metal imitating some more precious material, here brass or copper leaf imitating gold)",,oripeau,n.(m),T2L | Boyer,,,,,p007r_1a,,,,,,,
Orbere,,,see Bled orbere,,,n.(m),,,,,,,,,,,,,
Or bruny,,,burnished gold,,,n.(m),,,,,,,,,,,,,
Or couleur,,,"gold color, sometimes meaning a gold color produced by a particular process",,,,,,,,66r,,,,,,,,
Or de paillelle,,,"spangle gold. For discussion of those who panned for ""or de paillole"" around Toulouse, see Traité de la Cour des monnoyes, 1658",,paillette,n.(m),,,,,,p149r_2 ,,,,,,,
Or en feuille,,,gold leaf,,,n.(m),,,,,8r,,,,,,,,
Or moulu,or moleu,,"amalgam gilding, mercury mixed with ground gold to a paste, painted onto metal, then mercury is burned off, leaving the gold melded to the metal",,,n.(m),GMC,,,,,p075r_b5,,,,,,,
Ordeure,,,filth,,ordure,n.(f),,,,,,,,crasse,,,,,
Or mat,,,mordant,,,n.(m),,,,,,,,,,,,,
Or de pistolet,,,"pistolet gold, coin worth half a pistole",,,n.(m),DMF,,,,,,,,,,,,
Orfevre,,1,goldsmith,,orfèvre,n.(m),,,,,,,,,,forge,,,
,,2,someone who works with precious metals in general,,,n.(m),DMF,,,,,,,,,,,,
Orgue,,,several gun barrels mounted on a rack,,,n.(m),"OED | Norton Robert, The gunner , 1628, p. 157",,,,,,,,,,,,
Oribus,,,see poudre d'oribus,,,n.(m),,,,,,,,,,,,,
Orme,,,"elm, The roots boiled in wine (“or better yet, vinegar”, 087v) produce Magistra",,,n.(m),,,,,86r | 72r | 69v,,,,,,,,
Orne,,,"Ash tree (fraxinus ornus, properly “manna ash”)",,,n.(m),,,,,,,,,,,,,
Orner,,,to adorn,,,v.,,,,,,,,,,,,,
Orpiment,,,"bright yellow pigment made from arsenic trisulfide, also known as orpin",,,n.(m),DAF,http://cameo.mfa.org/wiki/Orpiment,,,,,,,,,,,
Osier,,,wicker,,,n.(m),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,
Paillelle,paillete,,spangle,,,n.(f),,,,,,,,,,or de paillelle,,,
Pailleterie,,,spangling work,,,n.(f),Cot,,,,,p104v_3,,,,,,,
Pal,,,pole,,,n.(m),Cot,,,,,p021r_2,,,,,,,
Palette,,1,"palette, as in painter’s palette",,,n.(f),DMF,,,,,,,,,,,,
,,2,small spatula,,,n.(f),DMF,,,,,,,,,,,,
,,3,"a small plank (in the ms, often of wood)",,,n.(f),DMF,,,,,,,,,,,,
Pale,palle,,shovel,,pelle,n.(f),Cot,,,,,P024v_1,,,,,,,
Palle-baisse,,,ditch-spade,poitevin,,,"Intermédiaire des chercheurs et des curieux, 30.08.1901, col. 309",,,,,,,,,,,,
Palma christi,,1,"Meaning uncertain, possibly either of two plants with palmately lobed leaves: (a) an unidentified medicinal herb, perhaps cut-leaved dead-nettle, Lamium hybridum (obsolete); (b) the castor oil plant, Ricinus communis.” ",latin,,n.(f),OED,,,,,,,,,,,,
,,2,"It may be a medicine, made of pig's tallow and palmately lobed leaves. Used as an additive to enhance the drying capacities of oil",latin,,n.(f),,,,,,,,,,,,,x
Palta lupina,,,"Latin mispelling, see Pata lupina",latin,,n.(f),,,,,,,,,,,,,
Pan,,,"handspan, the distance between the ends of thumb and little finger. Used a measuring unit in the South of France (approx. 25cm)",,,n.(m),DMF,http://artflsrv02.uchicago.edu/cgi-bin/dicos/pubdico1look.pl?strippedhw=pan,,,,,,,,,,,
Panier,,,"unit of measure for the sale of plate glass, which sells at 10 or 12 livres",,,n.(m),,,,,20r,,,,,,,,
Papier de trasse,,,"thick paper used for making cards, but also rough paper used to wrap merchandise",,papier de trace,n.(m),Enc,https://books.google.com/books?id=S1ADav-QqJIC&pg=PA103&lpg=PA103&dq=%22papier+de+trasse%22&source=bl&ots=Ku2vUeMJPD&sig=wXFaDoW39Dpf7rL09nkBwt2-tNY&hl=en&sa=X&ei=YUujU7nhIJa2sATTIA&ved=0CCQQ6AEwAQ#v=onepage&q=%22papier%20de%20trasse%22&f=false,,,,,,,,,,,
Papus,,,"pappus, modified calyx, the part of an individual floret that surrounds the base of the corolla tube in flower heads of the plant family Asteraceae.",,,n.(m),,,,,124r,,,,,,,,
Parayre,,,fuller (a profession employed in finishing cloth using fine clay),occitan,,n.(m),,http://micmap.org/dicfro/dictionary/godefroy-dictionary/mImg/0500762.gif,,,,,,,,Terre des parayres,,,
Pareure,,,"peel, parings",,,n.(f),,,,,,,,,,,,,
Parfaict,,,"complete, finished",,,n.(m),DMF,,,,,,,,,,,,
Parfumer,,,"to fumigate, when dealing with molds and metals",,,v.,,,,,,,,,,fumer,,,
Paroy,,,partition,,parois,n.(f),DMF,,,,,,,,,,,,
Partant,,,therefore,,,adv.,Cot,,,,,,,,,,,,
Participer de,,,to be akin to,,,v.,,,,,5r | 87v,,,,,,,,
Pas,,,"pace, measurement",,,n.(m),Cot,,,,,,,,,,,,
Passe solitaire,,,"according to Cot, ""a little black-brown Owsell (or bird like an Owsell) thats ever alone, or if in any companie, with Sparrowes, among stone walls, or on the tops of houses, where sometime she singeth prettily.""",,,n.(m),Cot,https://doi.org/10.1163/9789004367432_018,,,,,,,,,,,
Passer,,,"to pass, in the context of metalwork, can mean pass from one color to another",,,v.,,,,,,p96v_1,,,,,,,
Passevelours,,,amaranth,,,n.(m),,,,,,,,,,,,,
Passevolant,,,"small type of cannon, also called base",,,n.(m),Cot,http://www.micmap.org/dicfro/search/cotgrave/passevolant,,,,,,,,,,,
Pastel,,,"pastel woad, see also guesde.The a-p distinguishes pastel from guesde. Cotgrave calls it “Dyers woad (of a finer sort then that which is called Guesde),” and in the entry for Guesde, Cotgrave comments that “most writers confound them.”",,,n.(m),Cot,"Cotgrave calls it “Dyers woad (of a finer sort then that which is called Guesde),” and in the entry for Guesde, Cotgrave comments that “most writers confound them.”",,,,,,,,,,,
Pastel d'escarlate,,,scarlet pastel,,,n.(m),"Instruction generale pour la teinture des laines, Paris, 1671, p. 166 |  Secrets concernant les arts et métiers, vol. 2, Lyon, 1804, p. 77 |  Dominique Cardon, The Dyers Handbook: Memoirs of an 18th Century Master Colourist",,,,,,,,,,,,
Pata lupina,,,Caltha palustris L. a variety of buttercup (ranunculus family),latin,,n.(f),,,,,,,,,,ranunculus,,,
Pate,,,foot,,patte,n.(f),,,,,,,,,,,,,
Patron,,,"pattern, in painting",,,n.(m),Cot,,,,,,,,,,,,
Patronner,,,to model,,,v.,DMF,,,,,p065r_4,,,,,,,
Pavie,,,a kind of peach native to the Gers,,,n.(f),,http://www.pommiers.com/peche/pecher.htm,,,,,,,,mericoton,,,
Pegue,,,pitch,occitan,,n.(f),,,,,,,,,,,,,
Peindre au naturel,,,painting after nature,,,v.,,,,,,p031v_3,,,,,,,
Pelerin,,,"fellow, a good companion",,,n.(m),TLF,,,,,,,,,,,,
Pelote,pelotte | pilotte,,little ball,,pelote,n.(f),Cot,,,,,,,,,,,,
Pendant d'épée,,,"hanger of a scabbard, attaching it to the belt, also known as frogs",,,n.(m),,,,,96r,,,,,,,,
Penetrer,,,"to penetrate, to reach all the smaller parts of the mould",,,v.,,,,,,,,,,,,,
Pers,,,"blue, according to Webster: ""dark grayish blue verging on indigo""",,,adj.,DMF | Cot | Merriam-Webster,,,,,,,,,,,,
Pertuis,,,"opening, or hole",,,n.(m),,,,,156r,,,,,,,,x
Persicaire,,,"dead arsemart, dead culerage, ciderage, peachwort. Seems to refer to a running agent (or a kind of flux?) added to liquify (or clean) metal. ",,,n.(f),,,,,072r,,,,,,,,x
Pesanteur,poisanteur,,heaviness,,,n.(f),,,,,121r,,,,,,,,
Petter,,,to crack,,,v.,,,,,,,,,,,,,
Petiller,,,to crackle,,,v.,Cot,,,,,,,,,,,,
Petrolle,,,"Naphte, according to Cot ""held to be liquid, or soft, Bitumen (or the strayning thereof, is in truth) a soft, & sulfurous earth, or mould""",,pétrole,n.(m),Cot,,,,,,,,,,,,
Picoter,,,to peck,,,v.,,,,,,,,,,,,,
Picotin,,,"peck, a measure of about 5 pints, used to measure oats",,,n.(m),Cot,,,,,p056r_1,,,,,,,
Piece,,,piece of artillery,,,n.(f),,,,,,,,,,,,,
Piece de campaigne,,,field piece,,pièce de campagne,n.(f),,,,,018v,,,,,,,,
Pieces de fœu,,,"firearms, artillery",,,n.(f),,,,,047v,,,,,,,,
Pièces de plaisir,,,pleasure pieces (not to be put on carriages),,,n.(f),,,,,,,,,,,,,
Pied de roi,pied de roy,,"a king's foot, a standard 12 inch foot unit of measure",,,n.(m),Cot,,,,,,,,,,,,
Pied de veau,,,"calf's foot, aurum maculatum, arum.",,,n.(m),,,,,035v,,,,,jarus,,,
Pierre de filiere,,,,,,n.(f),,,,,,,,,,,,,x
Pierre de foudre,,,thunderstone,,,n.(f),,https://books.google.fr/books?id=iJUPAAAAQAAJ&pg=PA631&dq=%22pierre+de+foudre%22+anglais&hl=fr&sa=X&ved=0ahUKEwjHweXz_ZHcAhXJaxQKHTBJCJAQ6AEILjAB#v=onepage&q=%22pierre%20de%20foudre%22%20anglais&f=false,,,,p095r_1,,,,,,explanation?,
Pierre de touche,,,touchstone,,,n.(f),,,,,,,,,,,,,
Pierre sidérite,,,"magnet (in modern chemical nomenclature, siderite is iron carbonate, also called chalybite)",,,n.(f),Cot,http://cameo.mfa.org/wiki/Siderite,,,,,,,,,,,
Pierre morte,,,stoneware,,,n.(f),,,,,,,,,,,,,
Pierre ponce,,,pumice stone,,,n.(f),Cot,,,,,,,,,,,,
Pierre vive,,,flint,,,n.(f),Cot,,,,,,,,,,,,
Pierrerie,,,gemstone,,,n.(f),,,,,,,,,,,,,
Piler,,,"to pestle, or crush",,,v.,OED | DMF,,,,,p055v_b4,,,,,,,
Pilon,,,pestle,,,n.(m),,,,,,,,,,,,,
Pilotte,,,see pelote,,,n.(f),,,,,,,,,,,,,
Pinceau,,,"paintbrush (not to be confused with brosse, which can be a flat brush)",,,n.(m),,,,,,,,,,brosse,,,
Pinon,,,?,,,,,,,,,,,,,,,pestle?? See context on 107r,x
Pinte,,,"pint, see Cot who notes that this is a French or Parisian pint",,,n.(f),Cot,,,,,p058v_4,,,,,,,
Pionnier,,,pioneer,,,n.(m),Cot,,,,,p024v_1,,,,,,,
Pistolet,,,"pistolet, a gold coin, often the Spanish (double-)escudo",,,n.(m),OED,,,,,,,,,,,,
Pituite,,,phlegm,,,,,,,,,,,,,,,,
Plain,,,"flat, ""pierres taillées à plain"" may refer to a cut of gemstone also referred to in the English as flat. ",,,,"Ogden, Jack. Diamonds: An Early History of the King of Gems. Yale Univeristy Press, 2018. ",Diamonds: An Early History of the King of Gems,,,,,,,,,,,x
Plancher,planché,1,floorboards,,plancher,n.(m),,,,,,,,,,,,,
,,2,ceiling,,,n.(m),,,,,,,,,,,,,
Plane,,,"plane, not to confuse with rabot, a joiner's plane",,,n.(f),Cot,http://www.pbm.com/~lindahl/cotgrave/search/732r.html,,,,p094r_1,,,,,,,
Planter,,,to plant,,,v. ,,,,,129v,,,,,,,,
Plant,,,stance,,,n.(m),,,,,163v,,,,,,,,
Plaste,plastre,,"slab of earth clay, on which molded animals are set",,plaque,n.(m),,,,unify as slab,,,,,,plate,,,
Plastre,,,plaster,,plâtre,n.(m),,,,,,p159v_4,,,,,,,
Plastre meslé,,,mixed plaster,,,n.(m),,,,,,,,,plastre seul,,,,
Plastre seul,,,plaster alone,,,n.(m),,,,,,,,,plastre meslé,,,,
Plate,platte,,flat ingot,,,n.(f),,,,,,,,,,plaste,,,
Platine,platene,1,thin piece of metal or wood,,,n.(f),,,,,,,,,,,,,
Platine,,2,"slab, when a-p discusses arranging objects for casting",,,n.(f),,,,,,,,,,,,,
Platine,,3,small plate,,,n.(f),Cot,,,,168r,,,,,,,,
Platteforme,platte forme,1,platform (in artillery),,,n.(f),,,,,,,,,,,,,
Platteforme,,2,"in clockmaking, this refers to a device for scoring cogs evenly (on fol. 82r)",,,,,,,,,,,,,,,,
Plume de Holande,,,"Dutch quill, a quill that has been heated in sand or before the fire in order to harden it",,,n.(f),,,,,,,,,,,,,
Plustost,,,before,,plutôt,adv.,,,,,,,,,,,,,
Poeslon,poilon | poilonne,,skillet,,,n.(m),,,,,136v,,,,,,,,
Poignée,,,grip,,,n.(f),,,,,,p094r_1,,,,,,,
Poinçon,,1,puncheon,,,n.(m),,,,,49r | 165r | 170r,,,,,,,,
,,2,bodkin,,,n.(m),Cot,,,,33v,,,,,,,,
Poincte,,1,point,,,n.(f),,,,,,,,,,,,,x
,,2,prong of pinces,,,n.(f),DMF,,,,6v | 165r,,,,,,,,x
Pointer un pièce,,,to mount a piece,,,v. ,,,,,,p017r_1,,,,,,,
Poix resine,,,pitch resin,,,n.(m),,,,,,,,,,,,,
Polir,,,"to polish, not to be confused with brunir, to burnish",,,v.,,,,,92r,,,,,burnish,,,
Poly,,,polished,,,adj.,,,,,,,,,,,,,
Pommeau,,,pommel (of a sword),,,n.(m),,,,,,,,,,,,,
Pomole,,,type of barley,,,n.(f),,,,,,,,,,,,,
Poncer,,1,"to smooth with pumice, to polish",,,v.,Cot,,,,80v | 81r | 60r,,,,,,,,x
,,2,"to pounce, as in the pouncing one does with ink when inking up a printer's plate",,,v.,,,,,,,,,,,,,x
,,3,"to pounce, to transfer a design by pricking with a pin",,,v.,TLF,,,,,p039v_3,,,,,,,
Poncis,,,pounced design,,poncif,n.(m),TLF,,,,,,,,,,,,
Pone,ponne,,vat of earthenware or stone,,ponne,n.(f),DMF,,,,121r,,,,,,,,
Pontet,,,,,,n.(m),,,,,,p094r_1,,,,,,,
Porceau,,,hog's fennel,,,n.(m),Cot | OED,,,,,,,,,,,,
Porphyre,,,porphyry,,,n.(m),,,,,,,,,,,,,
Portepiece,,,"cutting-punch, a tool for punching and cutting out pieces of metal plate",,emporte-pièce,n.(m),Boyer | Enc,https://books.google.fr/books?id=2qdSAAAAcAAJ&pg=PP114&dq=%22emporte-piece%22&hl=fr&sa=X&ved=0ahUKEwjln7a4sKjcAhVSzqQKHXmxBNEQ6AEILjAB#v=onepage&q=%22emporte-piece%22&f=false,,,151v,,,,,,,,
Portevent,,,pipe that directs the air from the bellows through the tuelle and up into the furnace,,,n.(m),,,,,,,,,,,,,
Portée,,,"range, of a gun",,,n.(f),DLF,,,,,,,,,,,,
Poser,,1,to set,,,v.,,,,,,,,,,,,,
,,2,to lay (with gold leaf),,,v.,,,,,7v | 8r,,,,,,,,
,,3,to put down,,,v.,,,,,11r,,,,,,,,
Pot,,,a pot,,,n.(m),Cot,,,,,,,,,,,,
Potée,pottée,,calcined tin powder used for polishing,,,n.(f),DLF,,,,,,,,,,,,
Potence,,,crutch,,,n.(f),Cot,,,,,,,,,,,,
Potin,potein,,"an alloy of copper and tin, usually with lead and zinc, formerly used in the manufacture of coins",,potin,n.(m),OED,,,,,,,,,,,,
Potiron,,,a large mushroom that often grows overnight,,,n.(m),LAF | TLF,,,,,p118r_3,,,,,,,
Poudre d'oribus,,,"oribus powder, an alchemical projection powder, or the philosopher stone; a term of derision because so much gold was wasted in the searching for it. Thence also, any cousening or iugling powder",,,n.(m),Cot,,,,,,,poudre de perlimpinpin,,,,,
Poincte en blanc,,,at point blank,,,n.(f),ASG,,,,,p017r_1,,,,,,,
Porte-pièce,,,cutter,,,n.(m),,,,,,,,,,,,,x
Pouldrier,,,gunpowder maker,,,n.(m),Cot,,,,,,,,,,,,
Poulsse,pousse,,"thumb, a unit of measure not to be confused with an inch",,,n.(m),Cot,,,,,,,,,,,,
