start-line,start-column,end-line,end-column,severity,systemID,description
24,85,24,93,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
24,94,24,96,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
24,98,25,9,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
25,10,25,12,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""tl"" not allowed here; expected the element end-tag"
25,23,25,37,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
25,38,25,39,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""m"" not allowed here; expected the element end-tag"
25,48,25,112,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
25,113,25,115,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
25,117,26,19,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
26,20,26,22,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
26,24,27,20,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
27,21,27,23,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
27,25,28,19,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
28,20,28,22,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
28,24,29,21,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
29,22,29,24,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""lb"" not allowed here; expected the element end-tag"
29,26,30,5,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
30,6,30,9,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""del"" not allowed here; expected the element end-tag"
