folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
122v	p122v_1	Nettoyer lescuelle et la cueillere dequoy on destrempe le sable	Nettoyer l’escuelle et la cueillere de quoy on destrempe le sable	Cleaning the bowl and the spoon with which one tempers the sand	casting									sable;sable frais							escuelle;cueillere;pallette;cuillere;moule				
122v	p122v_2	Mouler en creux	Mouler en creux	Molding hollow	casting					escrevisses				cire;suif;ardille							moule;platine dardille				
122v	p122v_3	Mouler medailles et choses plattes	Mouler medailles et choses plattes	Molding medals and flat things	casting		CONTAINS FIGURE							papier;metal											
123r	p123r_1	Moyen di far correr lotnegra	Moyen di far correr l’otnegra	A means di far correr lotnegra	metal process			continued			visaige;nes;bouche;yeulx	sols		otnegra;arsenic blanc;Orpiment;arsenic jaulne;Aes ustum;Limaille de cuivre fin;Antimoyne;Sal gemme;Tartre crud;Suin de verre;Salpestre;Sel gros commun fondu;Sublime;Borras;Sel armoniac;borras;arsenic;sublime;orpiment;fil de fer;Lutes;terre fiens ou terre bourre de laquelle les fondeurs dartiglerie se servent;verre pile;luth;luter;Lute;soulder;souldure;acier rompu	unces;℥;moictie;aultant que de borras;quarte ou cinquiesme partye;heures;denier;sols				fondeurs dartiglerie;orfevres;ceulx qui travaillent de vaissele & grosserie		piles;crusol;tuyle;fil de fer;Lutes;pile;luth;luter;creuset;Lute	la fumee en est dangereuse			artiglerie
123v	p123r_1				metal process				continues	serpents	bouche;visage;yeulx		boutique	luth;salpestre;rostie au beurre;beurre;zedoaire;pieces dor;argent;metallique;argent fondu;estaim fin;cuivre;estaim de glace;plomb;estaim;sels sublimes;limailles;aes ustum;antimoyne;sels;grain metallic;metal fondu;luthe;souldure;letton;souldent	bon matin;heures;jour naturel;matin;tout un jour	zedoaire			rustique;garson de boutique;orfevres		luth;crusol;four a vent;serviette;piler;luthe;fourneau	les fumees qui sont dangereuses te pourroient nuire			
124r	p124r_1	Animaulx a poil et fleurs foibles et fort tanvres	Animaulx à poil et fleurs foibles et fort tanvres	Animals with hair and fragile and very thin flowers	casting					papillons			vent	huile de froment;huile		froment;dent de Lyon;papus;lapasses								dent de Lyon	
124r	p124r_2	Noyaulx pour mouler creus	Noyaulx pour mouler creus	Noyaulx for molding hollow	casting									or;argent							moule				
124r	p124r_3	Toile diraignee	Toile d’iraignee	Spider’s web	casting					iraignee;iraigne			aulx champs	eau;quarton;papier colle sur le quarton;estaim bien peu allie de plomb							quarton;poincte;papier colle sur le quarton				
124r	p124r_4	Or fin	Or fin	Fine gold	casting									Or fin;or;eau fort;antimoyne;verdet;plomb							marteau				
124v	p124v_1	Esmail Rouge clair	Esmail rouge clair	Rouge clair enamel	painting;metal process							escu;pistolet		Esmail;Rouge clair;or fin;or;esmauls;esmaulx;rouge clair;arene;grains dor					orfevres						
124v	p124v_2	Gecter en or	Gecter en or	Casting with gold	casting									or;cire;terre;or fin;or allie;argent;eau;plomb;esmeraulde;estain;chaulx diceulx	un quart plus pesant que				orfevres		moules;pot;four de reverberation;moule;forge				
124v	p124v_3	Moyen de fayre le gect pour petites lezardes	Moyen de fayre le gect pour petites lezardes	A means to make the gate for small female lizards	casting		CONTAINS FIGURE	continued		lezardes;serpent				metal;cire;fil de fer;sable	espesseur dun costeau						fil de fer chault;bout du fil de fer chault;moule;costeau				
125r	p124v_3				casting		CONTAINS FIGURE		continues					cire;metal							moule				
125r	p125r_1	Plastre	Plastre	Plaster	casting								pluyes;sur les maisons	Plastre;cire;plastre;pierre;plastre gris transparent nest pas fort Mays celuy est bon qui estant destrempe est blanc;sable de noyau;huiler;eau;eau chaulde;eau froide			allemaigne				moule;moules de plastre				
125r	p125r_2	Symeterres	Symeterres	Scimitars	arms and armor;casting								mines;mine	fer;acier;sable;fer fondu;fer douls			damas;hongrie;turcs		ouvriers						cimeterre;cimeterres
125r	p125r_3	Ouyr de loing	Ouyr de loing	Hearing from afar	tricks and sleight of hand						oreille									Ouyr;entendras					
125v	p125v_1	Viperes et serpens	Viperes et serpens	Vipers and snakes	casting					Viperes;serpens;vipere;serpent;aspic cornu;cochon;chien;serpents															
125v	p125v_2	Mouler tortues	Mouler tortues	Molding turtles	casting					tortues;serpents				plastre;sucre											
125v	p125v_3	Plastre pour gect de cire	Plastre pour gect de cire	Plaster for casting in wax	casting									Plastre;cire;plastre;eau chaulde;metal;albastre							moule de plastre;moule				
126r	p126r_1	Mouler fruicts en sucre et animaulx	Mouler fruicts en sucre et animaulx	Molding fruits and animals in sugar	casting									sucre;sucre fort clarifie;plastre;eau;cirop;cire;terre;cire fondue;ardille;metal;eau froide;sucre fondu en eau;amydon;amande	nuict;jour;tout un jour et une nuict	raisin;raisins;chauches;sauvignons;poires;pommes;amande					moule de plastre;moules;plaste;plaste dardille;moule;amande				
126v	p126v_1	Crocum ferri	Crocum ferri	Crocum ferri	casting							sols		Crocum ferri;rouille de fer;limaille;vinaigre;rouille;cendres chauldes;crocum;or	once;sols						moules;moule				
126v	p126v_2	Plastre	Plastre	Plaster	casting									Plastre;boys;cire fort chaulde;plastre;cire treschaulde							moules				
126v	p126v_3	Herbes difficilles a brusler dans le noyau	Herbes difficilles à brusler dans le noyau	Plants difficult to burn in the noyau	casting			continued						boys;charbon;cendre;terre;sable destrempe		asperge;tim;rosmarin					molle;moule;moules;cercle de terre				
127r	p126v_3				casting				continues					sable cler;charbon;cire fondue;cire;huile de petrol;de soufre;tourmentine;huile de brique;eaulx forts;eaulx de vye;sables;crocum;escaille de fer;fer;esmeri;os des animaulx;cendre;chair;os;vif argent	jours	asperge;tim					moule				
127r	p127r_1	Moule de plastre pour cire	Moule de plastre pour cire	Molds of plaster for wax	casting		CONTAINS FIGURE							plastre;cire							Moule de plastre;moule de plastre;moule;moules				
127v	p127v_1	Terre des fondeurs	Terre des fondeurs	Founders’ earth	casting		CONTAINS FIGURE							Terre des fondeurs;terre bolvene;fiens;bourre;luter;argent;os;cendres;plastre;eau de vye;sable destrempe;brique;alum;culs de crusols;lutte;terre susdicte des fondeurs;cendre criblee;lute;terre de laquelle les sarruriers se servent pour braser ou soulder;terre ardille areneuse;ardille;sable;terre;Fil de fer;Lute;crocum;Lutes			bolvene		fondeurs;sarruriers		luter;moules;crampons;crusols;moule;lutte;lute;moles;forge;tamisee;Fil de fer;Lute;four de reverberation;molles;Lutes;tuelle;souflet				
128r	p128r_1	Gecter en argent et or	Gecter en argent et or	Casting in silver and gold	casting			continued			doigts			argent;or;metaulx;pierrete de borras pulverisee;metal;borras moulu;arsenic & deulx foys aultant de tartre crud grossierement pulverises;metallique;acier;argent fondu;or et largent fondus;estain;crocum;alum de plume;argent allie;argent sophistique;arsenic;orpiment	bons doigts;grosseur dune noisette;deulx foys aultant	noisette					crusol;molles;moule;molletes;forge;souflet;mollettes;tuelle;cruset;moules;four				
128v	p128r_1				casting				continues			realle		vif argent;sable maigre delie;sable;cendre;argent bien fondu;argent;argent plus fin que la ligue du capital et comme de realle;borras;or;charbons	grosseur dun pois	pois	capital		orfevres		terrine;vaisseau;molettes;moule bien rouge;moule;forge;molletes;petit souflet				
128v	p128v_1	Blanchiment de largent gecte	Blanchiment de l’argent gecté	Whitening of cast silver	casting;metal process					petit lesard;lesard		teston		argent;bas argent;commun bullitoyre;tartre;sel commun;ligue de teston;bullitoyre;sel commun pulverise;eau commune;papier;fuma;eau du bullitoyre;sel;tarte;charbons;eau claire;eau;cuivre;or;eau de tartre;tartre brusle;argent bas	presque autant dun que daultre		allemands;france;Allemand		orfevres		forge;grattebroissa;papier;crusol;vaisseau				
129r	p129r_1	Paindre herbes de metal	Paindre herbes de metal	Painting plants of metal	painting									metal;gomme;huile;glaire;pelure de figuier		figuier									
129r	p129r_2	Pour santonique	Pour santonique	For wormseed	painting									vert de terre;blanc de plomb;ceruse;massicot;scudegrun;cendre dazur		santonique									
129r	p129r_3	Couleur de vipere	Couleur de vipere	Viper color	casting					vipere;serpent;lesard				verdegris;bon vinaigre;plomb;estain;soufre;linge rude;metalline;estein;argent	demy balle dharquebus						linge rude				harquebus
129r	p129r_4	Roses moulees	Roses moulées	Molded roses	casting					mouches				huile de froment;sable destrempe		Roses;froment;pensees;caprier									
129v	p129v_1	Animaulx seiches au four de longue duree	Animaulx seichés au four de longue durée	Animals dried in the oven for a long time	preserving;decorative;casting					serpents;oyseaulx			soleil de juin	terre;fil de fer;pain;sable	apres que le pain est tire;asses chault comme quand on en tire le pain;un jour & une nuict;comme la chaleur du soleil de juin					puant	four;plastre de terre;poinctes de fil de fer;pinceau;broisse				
129v	p129v_2	Animaulx gectes en cuivre	Animaulx gectés en cuivre	Animals cast in copper	casting									cuivre;foeilles de pierrerie											
129v	p129v_3	Advis sur le gect	Advis sur le gect	Advice about casting	casting						doigts			metal											
129v	p129v_4	Yraigne moulee sur une foeille	Yraigne moulée sur une foeille	Spider molded on a leaf	casting		CONTAINS FIGURE			Yraigne;serpents;poisson;iraigne	urine			huile de fromant;vinaigre;urine;eau de vye;poil de bourre subtil tamise;colle de poisson;verdet;soufre;ardile;fil de fer ou de letton;fil de letton;cire fondue;fil de fer;sable;cire;terre;sable destrempe		fromant;vigne					bougie;tamise;plastre dardile;poincte de fil de fer ou de letton;petites poinctes de fil de letton;pointe dun fil de fer chault;petites molettes;fil de fer chault;trancheplume;cercle de terre;moule				
130r	p130r_1	Animaulx seches au four	Animaulx sechés au four	Animals dried in an oven	preserving;decorative		CONTAINS FIGURE			chats;rats			au soleil	poinctes de fer;fil de fer;plomb;cire;ancre bien gommee;ardille							four;petit baston;poinctes de fer;petite table;petits aneaulx de fil de fer;balles de plomb ou de cire				
130r	p130r_2	Pour rougir les escrevisses vives qui sembleront bouillies	Pour rougir les escrevisses vives, qui sembleront bouillies	For reddening live crayfish, which will seem boiled	tricks and sleight of hand					escrevisses				fort bon vinaigre;eau de vye											
130r	p130r_3	Mouler une yraigne seule	Mouler une yraigne seule	Molding a single spider	casting					yraigne;iraigne;yraignes				argille;huile de froment;sable		vigne;froment					plaste dargille				
130r	p130r_4	Mouler une feuille de vigne seule	Mouler une feuille de vigne seule	Molding a single vine leaf	casting									fil de fer letton;ardille		vigne					poinctes de fil de fer letton;plaste dardille;moule				
130v	p130v_1	Mouler un chancre	Mouler un chancre	Molding a crab	casting					chancre;serpents;escrevisse				cendre;vif argent;sable							moule;trancheplume				
130v	p130v_2	Cerf volant	Cerf volant	Stag beetle	casting					Cerf volant;chancre															
130v	p130v_3	Pour mouler tanvre	Pour mouler tanvre	For molding thin	casting									cire;paste;beurre;huile							molle;moule				
131r	p131r_1	Herbes qui sont malaisees a brusler dans le moule	Herbes qui sont malaisées à brusler dans le moule	Plants that are awkward to burn in the mold	casting									Herbes;charbon							moule				
131r	p131r_2	Lettre et papier moule	Lettre et papier moulé	Letters and molded paper	casting									papier;ancre;eau de vye;dardille							plastre dardille				
131r	p131r_3	Pour orner des licts mirouers et semblables	Pour orner des licts, mirouers et semblables	For adorning beds, mirrors, and suchlike	decorative								licts;mirouers	ardoise;estain mesle;dorer;or de feuille;rubis;orpiment							ardoise bien unye				
131r	p131r_4	Pour bien aprendre un cheiien	Pour bien aprendre un cheiien	For teaching a dogei well	household and daily life					cheiien	aisselle			fromage					maistre;aprentis						
131r	p131r_5	Cires moulees	Cires moulées	Molded waxes	casting			continued						Cires;cire;ceruse;blanc de plomb;or;argent;cires;metaulx;cire blanche;crasse							moule;moules				
131v	p131r_5				casting				continues					or;argent;cire;soufre fondu;fumee de chandelle;ceruse;eau bouillante							chandelle;moule				
131v	p131v_1	Quand le gect destaim ou de plomb soufle	Quand le gect d’estaim ou de plomb soufle	When the cast of tin or lead becomes porous	casting			continued		grand lezard	doigt			estaim;plomb;cire;argenter;dorer;rousine;estaim de glace;soulder;metal;or;argent;eau	℥;lb					en telle chaleur que tu le puisses manier sans lesion ou que tu puisses tenir le doigt dans le gect sans te brusler;tellem chault que tu puisses soufrir le doigt dedans	moule;doigt;burin;limes;chaple				
132r	p131v_1				casting				continues					estaim;eau;estain;plomb							moule				
132r	p132r_1	Moule faict a deulx gects	Moule faict à deulx gects	Mold made in two casts	casting									lutte;terre;fume;sable;estaim;argent;or;plastre;luter							Moule;crampons;lutte;molle;moule;presses;terrine;cramponer;luter				
132r	p132r_2	Forme de recuire les moules	Forme de recuire les moules	Method for reheating the molds	casting			continued			doigts		vent dune fenestre	charbons;charbon;fumera;luttes	doigts						moules;forge;moule;grille;four;petit souflet;luttes				
132v	p132r_2				casting				continues																
132v	p132v_1	Sable commun de mine	Sable commun de mine	Common sand from the mine	casting								mine	Sable commun de mine							chassis				
132v	p132v_2	Crocum ferri	Crocum ferri	Crocum ferri	casting					fort petite lesarde	ongle;doigts			Crocum ferri;vinaigre;porphire;fort bon vinaigre;crocum;sable;alum de plume;crocum ferri;or;argent;limaille daiguilles;vinaigre distille;limaille dacier & daiguilles	jours;plusieurs foys chasque jour;moictie					cognoissoit sur longle;en le grattant de longle cest signe que le crocum est bon bien subtil & bien præpare;tu le trouveras en grattant un peu plus rude que laultre ou il ny en ha poinct	porphire;ongle;pot;four a vent;doigts;moule;moules				
132v	p132v_3	Dorer animaulx gectes dargent	Dorer animaulx gectés d’argent	Gilding animals cast in silver	casting									Dorer;argent;dorer;amalgame											
133r	p133r_1	Cire dure pour empraindre cachets	Cire dure pour empraindre cachets	Hard wax for imprinting seals	wax process									Cire dure;cire blanche;ceruse ou blanc de plomb fort subtillement broye;tourmentine;cire	goutte				orfevres						
133r	p133r_2	Pieds de petitses lezardes pour or et argent	Pieds de petitses lezardes pour or et argent	Feet of smalls female lizards for gold and silver	casting		CONTAINS FIGURE			petitses lezardes;grands lesards				or;argent;cire							moule				
133r	p133r_3	Marques des poinctes de fil de fer qui se trouvent en la teste de lanimal	Marques des poinctes de fil de fer qui se trouvent en la teste de l’animal.	Marks from the points of iron wire which are found on the head of the animal	casting									fil de fer;sable;fer;cire dure;mastic;ciment							poinctes de fil de fer;poinctes;poincte;poincte de fer;fil de fer chault				
133r	p133r_4	Crampons et moule rompu	Crampons et moule rompu	Clamps and broken mold	casting									argent vif;Relute;argent;or;lute;sable qui ha servy;luter							Crampons;moule;crampons;moules;Relute;lute;luter				
133v	p133v_1	Le souflement et petits trous qui se trouvent aulx moules	Le souflement et petits trous qui se trouvent aulx moules	Bubbles and little holes which are found in the mold	casting									sable destrempe;sable							moules;petits moules;escuelle				
133v	p133v_2	Chose qui nest en despouille	Chose qui n’est en despouille	Thing that does not release	casting					petites lesardes				sang;crasse;moisissure;cire							moule;ciseaux;four;espingle;petites poinctes				
133v	p133v_3	Divers animaulx enlasses	Divers animaulx enlassés	Various animals entwined	casting			continued		serpent;lesard;grenoille;angroisse;angroise;angroissee				terre;cire;fil de fer;sable destrempe							four;moule;fil de fer chault;plaste de cire terre				
134r	p133v_3				casting				continues	lesards;lesard;petite angroisse				ardile;cire;metal;sable destrempe							poinctes;plaste dardile;plastes de cire;moule				
134r	p134r_1	Pour racoustrer un moule perce	Pour racoustrer un moule percé	For mending a pierced mold	casting									fer;cire fondue;sable destrempe;lutter							moule;poinctes de fer;lutter				
134r	p134r_2	Sable de crocum	Sable de crocum	Sand of crocum	casting									Sable de crocum;crocum;crocum ferri;argent;or;plomb;estain							moules				
134v	p134v_1	Faire courre le ☀	Faire courre le ☀	For making ☀ run	metal process;casting					iraigne				☀;Verdegris;sel armoniac;Borras;salpestre;borras;verdegris;mabre;fort bon vinaigre;couleur;verdet;huile;metaulx	aultant dun que daultre;aultant dun que dautre;que la moitie des aultres						mabre;forge				
134v	p134v_2	Pour gect dor en grand ouvraige	Pour gect d’or en grand ouvraige	For gold casts in large works	casting									or;fil de fer;plomb;estaim							cramponer;moules;fil de fer;petites bandes;forge				
134v	p134v_3	Secret pour soulder lor et argent en petit ouvrage	Secret pour soulder l’or et argent en petit ouvrage	Secret for soldering gold and silver in small works	casting						pituite;salive espesse quiet blanche qui se tient aulx dents;dents;salive			soulder;or;argent;cire;or de souldure;pituite;salive espesse quiet blanche qui se tient aulx dents;petite paillete dor;terre grasse;salive;souldure;borras;eau de graine de coings bouillie		coings					burin				
135r	p135r_1	Couleur pour or ou saulce	Couleur pour or ou saulce	Couleur for gold or mixture	casting;metal process									Couleur;or;Verdegris;sel armoniac;salpestre;couleur;or aigre fondu	autant dun que daultre;aussi gros quune febve	febve									
135r	p135r_2	Gect	Gect	Gate	casting		CONTAINS FIGURE			sernailles	doigts		lieu mouille & humide	metal;cire	doigts						grands moules;moule				
135r	p135r_3	Foeille de vigne et petite grenoille	Foeille de vigne et petite grenoille	Vine leaf and small frog	casting					petite grenoille;iraigne;grenoille				ardille;cire;scudegrun;verd de terre		vigne;vignes					plaste dardille;petites poinctes;sayettes				
135v	p135v_1	Pour gecter en ☼	Pour gecter en ☼	Casting in ☼	casting			continued			doigts			☼;borras;charbons;charbon;or;fume;couleur;verdet;selpestre;sal armoniac;lute;sable ou il y a y aye du crocum;crocum;sable	doigts;grosseur dune febve;lb	febve			garson		crusol;forge;souflet;petit souflet;creuset;lute;moule;four a vent			couleur	
136r	p135v_1				casting				continues				vent	couleur;sable;eau;or;estaim;eau fort;letton;sol;laitton;laicton;lame de plomb							petit & grand souflet;moule;moulets;crusol;petit souflet;fourneau a vent;fournaise				
136r	p136r_1	DEsm Esmailler ouvraiges tanvres	DEsmEsmailler ouvraiges tanvres	DEsm Enamelling thin works	casting;metal process									Esmailler;foeille dor;esmail					orfevres		aisle du burin				
136v	p136v_1	Pour gecter en letton	Pour gecter en letton	For casting in latten	casting					porc			air;vent	letton;letton de poilons ou lon faict la bouillye des petits enffans;gectons dallemaigne;calamine;letton refondu;calamine fresche;letton fondu;letton de refondu;or;argent;cuivre;metal;cloux de rosette;laitton doulx;laitton fort jaulne;laitton;eau;argent fondu;acier;sel armoniac;huile tingente;sable;letton jaulny;tuthie præparee;fumees de la calamine;verre;laicton tant jaulne;cuivre rouge;charbons;fer;linge;graisse de porc;salpestre			allemaigne		petits enffans;gecteurs		moule;chassis;queue de cuivre ou de fer;linge trempe dans de la graisse de porc mesle de salpestre ou sel armoniac	garde toy de la fumee car elle est pernicieuse			
137r	p137r_1	Pour gecter en cuivre rouge	Pour gecter en cuivre rouge	For casting in red copper	casting								vent	cuivre rouge;cuivre rouge pur de chaudronou dautres ouvrages tanvres;sel armoniac;estaim fin;cuivre;or;argent;letton;metal;acier;argent fondu;laitton;force fumees;papier;sable;metaulx;eau							chaudron;moule;estoupes;brasier;pot;vaisseau				
137r	p137r_2	Huile tingente pour fayre courre les metaux	Huile tingente pour fayre courre les metaux	Huile tingente to make metals run	casting;metal process								froid & humidite;sourdis deau dans la fosse	Huile tingente;metaux;☿ sublime de venise;arsenic sublime;Aes ustum;Sel armoniac;verre;cendres chauldes;cire;metal fondu;tartre;crasse;ordure;sel armoniac;estain;eau	poix		venise		fondeurs de grand gect;fondeur		bouteille de verre				
137r	p137r_3	Crampons	Crampons	Clamps	casting		CONTAINS FIGURE							fil de fer							Crampons;tenailles plattes de fil de fer;enclume;moules				
137v	p137v_1	Destremper sable pour moule de medailles plattes	Destremper sable pour moule de medailles plattes	Tempering sand for molds of flat medals	casting			continued		lesards	doigt			sable;cire;metal;huilent;eau de vye;eau;huilee;eau froide;huiles;eau chaulde;huile;huiler	estre de telle chaleur que tu ny puysses tenir le doigt sinon avec sentiment bien chault					estre de telle chaleur que tu ny puysses tenir le doigt sinon avec sentiment bien chault	moule;pinceau;molle;doigt;poincte dun costeau;poinctes de costeau;poincte du pinceau huile				
138r	p137v_1				casting				continues	escrevisses;chancres;cerf volant				or;argent;cuivre;letton;gros os;☿;rascleures des moules;brique;lopins aussy des moules qui ont servy;lute;eau de sel armoniac;spat dallemaigne;excellent sable;metaulx;cire noire soufree;bois;eau;sable;ardille fresche;terre grise;La jaulne;cire			allemaigne				moules;moulle;crampons;lute;chassis;platene dardille fresche;molle;table;mole				
138v	p138v_1	Talc mesle aulx moules	Talc meslé aulx moules	Talcum mixed in the molds	casting									Talc;huile;acier;sable							moules;mortier dacier;pilon;lime				
138v	p138v_2	Or gecte fort tanvre	Or gecté fort tanvre	Gold cast very thinly	casting					lesards				Or;souldure;or;linge;or fin non alie;huile de froment;or allie;soubder		pensee;froment			orfevres		forger;linge;chose qui soubstiene le foeu;marteau				
138v	p138v_3	Diamants contrefaicts mis en oeuvre	Diamants contrefaicts mis en oeuvre	Counterfeit diamonds put in a work	stones								jour	Diamants contrefaicts;cire noire pour esbaucher;cire;huile de froment;fumee de lampe;pierres faulces;pierre;acier		froment					poincte dacier;martelet a tatiner				
139r	p139r_1	Gect de plomb et destaim	Gect de plomb et d’estaim	Casts of lead and tin	casting			continued		lesards;serpents;seiche	doigt		& au niveau	plomb;estaim;estaim fin;plomb noeuf & non sophistique;sable;metaulx;charbons;rousine;crasse;estain de glace;metal fondu;metal;estain fin;plomb neuf;planches de cuivre;cendres;os de seiche;papier;foeillet escript;estain;cartons;or;boys dur;carton	℥;lb;aussy gros quune febve;Essaye pour cet effect avecq du papier sil roussist le papier cest asses il est bon a gecter mays sil noircist le papier il est trop chault;moictie	febve				jusques a ce que tu puisses tenir le doigt sans læsion dans le trou du gect	moule;doigt;crusol;souflets;raclouer;petit souflet;une presse;molle;moules;presses bien serres;planches de cuivre;grands moules;pot quarre;os de seiche;papier;cartons;poincte dor ou de boys dur;carton;carton adapte				
139v	p139r_1				casting				continues					terre;lames de cuivre;fer;bois;fer blanc;planches de cuivre							moules;planches de cuivre;estrie ou vis de fer				
139v	p139v_1	Gect en cire pour representer lanimal quon na point	Gect en cire pour representer l’animal qu’on n’a point	Cast of wax to represent an animal that one has not got	casting;wax process			continued		serpents				cire;cire blanche;crasse;charbon pile & subtillement passe par un linge ou manche;linge;charbon;cire fondue;soufre;eau;charbon susdict pulverise;fume;charbon pulverise;cire noire soufree;charbon pile;cendre;cire a esbaucher	moictie;pleine escuelle a oreille;aultant quune grosse noix;quand elle ne fume plus;quand elle faict de grands traicts se retirants aulx borts & non meus	noix				ta cire a passe sa grande chaleur ce que tu cognoistras quand elle ne fume plus	pile;linge;manche;escuelle a oreille;petit baston;moule;moule a noyau;cierge				
140r	p139v_1				casting;wax process		CONTAINS FIGURE	continued	continues	serpent	doigt			plastre blanc;sable;eau froide;eau si chaulde;eau;eau chaulde;cire;sucre;cuivre;soufre;ardoise;vernis;argent	bonne heure;le moings aultant;nuict;jour					eau si chaulde quau commancement tu ny puisses tenir le doigt;Ceste cire est fort doulce & amiable & pliante comme cuivre et si est forte a cause du soufre qui la rend beaucoup plustost fondante que laultre ainsy	moule;moule qui est de plastre blanc;doigt;moules;ardoise chaulde;chandelle;tranche plume chault;baston;cierge				
140v	p139v_1				casting;wax process				continues					argent;cuivre;eau fort;sable destrempe;or											
140v	p140v_1	Pour gecter en soufre	Pour gecter en soufre	For casting in sulfur	casting									soufre;miette de pain;cire fondue							brasier				
140v	p140v_2	Mouler et rapetisser une grande figure	Mouler et rapetisser une grande figure	Molding and shrinking a large figure	casting									mie de pain;miette;pain;soufre							four				
140v	p140v_3	Gect de plomb et estain en plastre	Gect de plomb et estain en plastre	Cast of lead and tin in plaster	casting						doigt			plomb;estain;plastre;brique;alum de plume;crocum;huile;eau de vye	froidir de telle sorte que je pouvois tenir le doigt sans me brusler;℥;deniers					de telle sorte que je pouvois tenir le doigt sans me brusler	molle;moule;moules;doigt				
141r	p141r_1	Mouler une escrevisse	Mouler une escrevisse	Molding a crayfish	casting			continued		escrevisse;escrevisses;cerf volant;chancre;tortues				ciment dorfevre;sable;fer;huile dolif de froment;eau de vye;os blanc;☿;huile;vin;sel;vermeillon;laque;ocre jaulne;blanc		olif;froment			orfevre		fer chault;moule;moules				
141v	p141r_1				casting		CONTAINS FIGURE	continued	continues	escrevisse			au soleil	terre Jaulne de potier;ardile;fil de fer;ardille;cire;fer;eau de vye;sable;cire fondue;vermeillon;laque;blanc de ceruse;ocre jaulne;fil de letton blanchy;soulde					potier		plaste de terre Jaulne de potier;plaste dardile;poincte de fil de fer;petit fer chault;moule				
142r	p141r_1				casting		CONTAINS FIGURE		continues	escrevisse;chancre;escrevisses				sable;cire;fil de fer;huile;eau;huiler;eau de vye;lute;crocum;grosse fisselle;metal							moule;poincte dun costeau;burin;aultre chose propre;petites broisses;poinctes de fil de fer;crampons;lute;trancheplumes;limes;petites chaples;burins				
142v	p142v_1	Mouler saulterelles et choses trop tanvres	Mouler saulterelles et choses trop tanvres	Molding grasshoppers and things too thin	casting					saulterelles;papillon;saulterelle				papier escript;papier;beurre fondu;boeurre;huile de froment;cire;carton commun;lettre;gomme;ardille;sable destrempe pour noyau;cinabre;huile;papier huile;charbons		pensee;froment					plaste dardille;moules;forge;moule				
142v	p142v_2	Moules	Moules	Molds	casting					crapault			lieu humide ne enclos								Moules;molle;moules;moule				
142v	p142v_3	Luth pour luther tes moules	Luth pour luther tes moules	Lute for luting your molds	casting					cheval				Luth;luther;terre maigre de laquelle les fondeurs dartiglerie & de cloches font leur trusseaulx et moules;mortier;fiente de cheval;bourre descarde;tondure de draps;luth	moictie;tierce partye				fondeurs dartiglerie & de cloches		Luth;luther;moules;trusseaulx;moule;luth				artiglerie
143r	p143r_1	Mouler tortues	Mouler tortues	Molding turtles	casting					tortues;tortue deau;celle de garrigue;serpents;Celles deau;Celles de garrigue>;celles deau;celles de garrigue	urine		eau;garrigue;froid;en terre;soubs de la balle de bled ou fumier chauld	vinaigre;eau de vye;urine;eau chaulde;eau de vie;bled;fumier chauld		bled	garrigue				trencheplume;moulle				
143r	p143r_2	Mouleurs de foix	Mouleurs de Foix	Molders from Foix	casting									sable de crocum & dardoise calcinee;crocum;ardoise calcinee;ardoise;sable;sables;porphire;eau			foix		Mouleurs		tamisent;porphire				
143r	p143r_3	Crapault	Crapault	Toad	casting		CONTAINS FIGURE	continued		Crapault				metal							moule				
143v	p143r_3				casting				continues					cire;metal							moule;moules				
143v	p143v_1	Carquans faicts a jour	Carquans faicts à jour	Carcanets made à jour	casting					escrevisses				ardille;cire							chassis				
143v	p143v_2	Limaille de fer	Limaille de fer	Iron filings	casting									Limaille de fer;limaille;ordures;immundices;eau claire;eau;bonne limaille											
143v	p143v_3	OEillets	OEillets	Carnations	casting									foeilles & lames dargent		OEillets									
144r	p144r_1	Tortues	Tortues	Turtles	casting		CONTAINS FIGURE	continued		Tortues;Celles deau;celles de garrigue;celles deau;tortue	urine		eau;garrigue	vinaigre;urine;ardille;ardille fresche;grain de mil jaulne;graine de grand passevelours;petit;graine de chou navette;fer;sable	jours	mil jaulne;grand passevelours;petit;chou navette	garrigue				moule;sayes;platine dardille;poincte fortete;ardille fresche;petites pinsettes;pinsettes;poinctes de fer				
144v	p144r_1				casting		CONTAINS FIGURE	continued	continues	tortue;serpents;laisards;escrevisse	doigt			ardille;huile;eau chaulde;sable;eau de vye;huilee;sable destrempe;eau;fil de fer;eau de sel armoniac;huiler;crocum						en sorte que sans te brusler tu y puisses tenir le doigt sans te brusler	broisses;cercle dardille;platene;liste dardille;moule;pinceau;doigt;demy mole;platine dardille;demy moule;entredeux dardille;molles;platine;poinctes de fil de fer;cercle;entredeulx dardille;demy molle;crampons				
145r	p145r_1	Gecter en trois chassis	Gecter en trois chassis	Casting in three frames	casting		CONTAINS FIGURE							bronze							chassis;mortiers de bronze;mortier				
