folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
089v	p089v_1	Sel armoniac et albastre	Sel armoniac et albastre	Sal ammoniac and alabaster	casting						poignees;main		cave;au serain;lieu humide;a lhumide	Sel armoniac;albastre;sel armoniac;mabre;albastre pulverise;papier;sel;huile daspic;pierre;sable qui despouille bien;armoniac;sels propres aulx metaulx	℥;lb;jours	aspic					mabre;feille de papier;serviette;chassis;main;moule				
089v	p089v_2	Sable de mine blanc des verriers mesle de sel armoniac	Sable de mine blanc des verriers meslé de sel armoniac	Glassmakers’ white sand from the mine, mixed with sal ammoniac	casting;glass process								mine;ville	Sable de mine blanc des verriers;sel armoniac;sable blanc mai comme du sel et maigre;sel;porphire;albastre calcine;eau gommee ou pure;moustarde;huile ou dolive noix ou pour mieulx daspic	jour	olive;noix;aspic	Cominge;aurignac		verriers;potiers		porphire;mouler;chassis				
090r	p090r_1	Sel armoniac et mache de fer	Sel armoniac et mache de fer	Sal ammoniac and iron dross	casting								au serain;cave	Sel armoniac;mache de fer;sel armoniac;bronze;porphire;mache de fer pulverisee & subtiliee							mortier de bronze;double tamis;porphire;serviete				
090r	p090r_2	Sable	Sable	Sand	casting									Sable;crocum ferri;ardoise calcinee			foix		mouleurs						
090r	p090r_3	Que tout sable se peult rendre bon	Que tout sable se peult rendre bon	All sands can be rendered good	casting			continued			doigts		mine;au profond de la sablonniere;pres des rochers aulx pays montueulx;aulx territoires maigres;aulx environs de toutes les bonnes villes;pres de leur demeure	sable;sables;celuy des mine;terre;arene;sable de mine			bonnes villes;Lyon;venise;parys pres la Saincte chappelle		artisans qui travaillent en grands ouvraiges;artisans	qui se trouve doulx en le maniant entre les doigts	doigts				
090v	p090r_3				casting				continues					eau;porphire;croye;sels;linge ou foeultre brusle;cendres de papier							tamis;vaisseau;porphire				
090v	p090v_1	Terre fondue des potiers	Terre fondue des potiers	Terre fondue of potters	casting									Terre fondue des potiers;moustarde;eau;eau sel;sables					potiers		mortier;moulin de moustarde				
090v	p090v_2	Orangers	Orangers	Orange trees	cultivation								jardins	terre	de deulx ans en deulx ans	Orangers;orangers	Italie;lombardie				caisses quarrees de bois;boucles;leniers;caisses;vis;clous				
091r	p091r_1	Hanter	Hanter	Grafting	cultivation								En temps serain & doulx & non trop froid & venteulx			vigne;persees;abricots;prunier;amendiers									
091r	p091r_2	Mouler en os de seiche	Mouler en os de seiche	Molding with cuttlefish bone	casting			continued		seiche			en lieu humide	os de seiche;os;tuile;charbon de saule pulverise;charbon de saule;brique;metal;plomb		saule					os de seiche;costeau;tuile a crochet;os;contre os;marteau;ciselet;moule;trancheplume			contre os	
091v	p091r_2				casting		CONTAINS FIGURE		continues	seiche	mains;genoux			os;bois;ardille;charbon de saule;huile;pouldre de charbon de saule;huilee;os de seiche;plomb;estaim;metal;estain	proportion	saule					os;pointes de bois;mains joinctes entre les deulx genoux;presse;broisses;os de seiche;chassis;moule				
092r	p092r_1	Sable Mixture aysee a fondre	Sable Mixture aysée à fondre	Sand Mixture easy to melt	casting									Sable;estaim doux;plomb fin;estaim de glace;argent vif arreste;souldure;estaim fin	℥;partye;partie						plat destaim fin				
092r	p092r_2	Mouler cave dun coste et de relief de laultre	Mouler cave d’un costé et de relief de l’aultre	Molding hollow on one side and in relief on the other	casting									estain fin;souldure;noir de lampe;eau;cuivre;argent;plomb;estaim;estain;estain doulx							chassis;pinceau				
092r	p092r_3	Potin	Potin	Potin	metal process									Potin;potin;estaim;verd											
092r	p092r_4	Mouler statues	Mouler statues	Molding statues	casting									terre bourre dont usent les fondeurs;terre ardille	moictie				fondeurs						
092v	p092v_1	Sable des telines et moules de riviere	Sable des telines et moules de riviere	Sand from river tellins and mussels	casting					telines;moules;coquilles			riviere;rivieres deau doulce	Sable des telines et moules de riviere;coquilles;sable blanc impalpable											
092v	p092v_2	Congellation de mercure	Congellation de mercure	Congealing mercury	metal process									mercure;fer;☿;verdet;vitriol de salpestre;eau vielle des mareschaulx;estaim;crasse;eau fort;argent;estain;plomb	heure;℥;ana				mareschaulx		cassolle de fer;palle;cuellere;creuset creux				
092v	p092v_3	Mixture	Mixture	Mixture	metal process									Estaim fin;mercure congelle;estaim;estaim de glace;plomb fin;souldeure	aultant dun que daultre										
093r	p093r_1	Olives	Olives	Olives	cultivation						mains			eau sel	une foys le moys	Olives				toucher					
093r	p093r_2	Observation des rustiques	Observation des rustiques	Observation from rustics	cultivation								il gele;gelee						rustiques						
093r	p093r_3	I Hantes	I Hantes	Grafts	cultivation								vent;en temps de gelee			peschiers;pruniers						humeur			
093r	p093r_4	Sable	Sable	Sand	casting								foyer	Sable;cendre blanche de tout boys;boys							foyer				
093r	p093r_5	Sable	Sable	Sand	casting								cuisines;grandes cuisines	Sable;cendre;suye bien pulverisee;chaulx vive subtillement pulverisee;pierre vive											
093v	p093v_1	Visaige a destrempe	Visaige à destrempe	Faces in distemper	painting								cheminees des grandes cuisines	destrempe;toile;bistre;rouille;huile;ocre de ru;vert de vessie;mabre							esponge;pinceau;mabre				
093v	p093v_2	Azur	Azur	Azure	painting		CONTAINS FIGURE							Azur;azur desmail;ordures;laveures;toile;boys;vernis;huile					painctres;grossiers		pinceau;palette				
093v	p093v_3	Violet et laque	Violet et laque	Violet and lake	painting									laque;azur;verre							pallete;costeau poly;verre				
094r	p094r_1	Fourbisseur	Fourbisseur	Furbisher	arms and armor		CONTAINS FIGURE	continued		chien;chien de mer	main;sue	sols	mer	fer;bois;colle;cire gommee;cire;poix;rousine;fil;fil de fer;peau de chien;soye;filet;filets;peau de chien de mer;fil de fer recuit;fil dor & dargent fin & faulx;velours;peau;eau fort peu tiede;fil noir	sols;douzaines;heure				Fourbisseur		fil de fer;peau de chien;rouet			lames;pontet;aneaulx;corps;oeil de la garde;cordon;boutons	
094v	p094r_1				arms and armor		CONTAINS FIGURE	continued	continues		doigts	sols		or;toile deliee jaulne ou aultre jaulnye avecq de la croye;toile;colle;gome;fil;soye;argent;or fin;foeille de sauge;sorbier;huile;esmery;fer;acier fort uny & bien lime;pierre;coux;sanguine;boys;boys de buy;fresiller;saule;fresil;escaille de fer;felinder;flin;pierre de fouldre	sols;espesseur de trois doigts	sauge;sorbier;buy;saule			Ceulx qui font les gardes despees;artisans;fourbisseur;mareschaulx		chameau;arson;baston de la fustee;brunir;fustee;cornet a huile;cornet de lesmery;poincte dhalebarde;lime;grateau;pierre;coux;baston a fresiller;forge des mareschaulx;banc des fourreaux;baston a felinder;flin;pierre de fouldre			chameau;arson;baston de la fustee;fustee;cornet a huile;cornet de lesmery;grateau;fresil	espee;gardes;espees
095r	p094r_1				arms and armor			continued	continues		pied;doigt;main	lb;liart		meillleur acier & fer;esmeril pulverise;farine;huile;esmeril;felin;pierre de fouldre;felinder;croye;croye seiche;boys;bois	douzaine;lb la douzaine;goute		espaignolles;vienne;daulphine		fourbisseur;forbisseur;serruriers;mareschaulx		forgees;forge;pied;meule;chameau;esmeril pulverise;baston;esmeril;doigt;felin;pierre de fouldre;fustee;baston a felinder;croye;croye seiche;gratteau;main;estoc;lime;marteau;ciseau			felin;baston a felinder	gardes;espees de vienne;espee;garde
095v	p094r_1				arms and armor			continued	continues		doigt	sols;carolus;lb		eau;rousine;colle;rousine pulverisee;perles;boys;fayan;fer	douzaine;sols;carolus;douzaines;lb;travers de doigt despes	fayan			roy;forbisseurs;aprentis;fourbisseur;menusiers		cloux;clou;banc des fourreaulx;plane;petit fer;banc des menusiers;costeau a deulx manches;rabot			Estelles;banc des fourreaulx	espee;gardes
096r	p094r_1				arms and armor				continues	veau;mouton;vache	pied	sols		cuir;pierre noire;velours;colle;suif;cuir de veau ou de mouton;chair;buys;belle peau de veau;peau;eau tiede legerement;boys;filet noir;bois de buy;huile;simple toile;parchemin;encire;toile deliee;cire;peau de mouton	demy pied;par jour;sols	buys;buy			ouvrier;celuy mesme qui ha faict le boys;communes gens		plane ronde manchee aussy a deulx manches;petite plane estroicte;pierre noire;ciseau;ribot;loppin de buys;plane;bois de buy;linge				espee;espees
096v	p096v_1	Gardes grises	Gardes grises	Grey guards	arms and armor								cheminee	cendres;cendre;charbon allume;crasse	heure						chaulderon plein de cendres			les faire passer	
096v	p096v_2	Couleur deau	Couleur d’eau	Color of water	arms and armor;metal process									sanguine;crasse;vernis	jour						lime doulce;brunisson				
096v	p096v_3	Vernis jaulne	Vernis jaulne	Yellow varnish	arms and armor;metal process;varnish									Vernis jaulne;huile dolive de noix;charbon;cendre;fument		olive;noix			fourbisseurs		plume;fourneau des fourbisseurs				
097r	p097r_1	Le vernis noir	Le vernis noir	Black varnish	arms and armor;metal process;varnish									vernis noir;gallipot											
097r	p097r_2	Dorer	Dorer	Gilding	arms and armor;metal process						nes;doigts	sols		argenter;or;sanguine;pottee;cendres;fer;linge blanc	quarteron				painctres	on la sent & on laproche du nes	lime doulce;estoc;pincettes;vergette de fer;linge blanc				
097r	p097r_3	Argenter	Argenter	Gilding with silver	arms and armor;metal process									Argenter;or;foeille dargent;argentees;foeille;sanguine							lime;costeau;pincettes;brunisson				
