ms-xml/tc/tc_p094v_preTEI.xml,,ms-xml/tcn/tcn_p094v_preTEI.xml,,ms-xml/tl/tl_p094v_preTEI.xml
14 ab,,14 ab,,15 ab
1 add,,1 add,,1 add
1 bp,,1 bp,,1 bp
5 caption,,5 caption,,5 caption
1 cn,,1 cn,,1 cn
2 comment,,1 comment,,6 comment
3 del,,1 corr,,1 corr
9 df,,4 del,,4 del
1 div,,9 df,,10 df
5 exp,,1 div,,1 div
7 figure,,5 exp,,7 figure
1 ill,,7 figure,,13 fr
33 lb,,1 ill,,1 ill
29 m,,33 lb,,6 lb
2 ms,,30 m,,30 m
4 pa,,2 ms,,2 ms
4 pro,,4 pa,,4 pa
1 root,,4 pro,,4 pro
19 tl,,1 root,,1 root
9 wp,,21 tl,,18 tl
,,3 wp,,
ms-xml/tc/tc_p095r_preTEI.xml,,ms-xml/tcn/tcn_p095r_preTEI.xml,,ms-xml/tl/tl_p095r_preTEI.xml
6 ab,,6 ab,,6 ab
1 add,,1 add,,1 add
3 bp,,3 bp,,3 bp
2 cn,,2 cn,,2 cn
2 comment,,3 comment,,8 comment
7 del,,2 corr,,7 del
2 df,,7 del,,2 df
1 div,,2 df,,1 div
3 exp,,1 div,,12 fr
35 lb,,3 exp,,17 m
17 m,,35 lb,,3 ms
3 ms,,17 m,,1 oc
1 oc,,3 ms,,5 pl
5 pl,,1 oc,,4 pro
4 pro,,5 pl,,1 root
1 root,,4 pro,,26 tl
26 tl,,1 root,,
8 wp,,26 tl,,
,,3 wp,,
ms-xml/tc/tc_p095v_preTEI.xml,,ms-xml/tcn/tcn_p095v_preTEI.xml,,ms-xml/tl/tl_p095v_preTEI.xml
8 ab,,8 ab,,8 ab
1 bp,,1 bp,,1 add
5 cn,,5 cn,,1 bp
1 comment,,2 comment,,5 cn
4 del,,1 corr,,6 comment
2 df,,4 del,,5 del
1 div,,2 df,,2 df
6 exp,,1 div,,1 div
26 lb,,7 exp,,4 fr
11 m,,26 lb,,1 la
9 ms,,11 m,,6 lb
1 pa,,9 ms,,11 m
1 pn,,1 pa,,9 ms
5 pro,,1 pn,,1 pa
1 root,,5 pro,,1 pn
10 tl,,1 root,,6 pro
2 wp,,10 tl,,1 root
,,1 wp,,10 tl
ms-xml/tc/tc_p096r_preTEI.xml,,ms-xml/tcn/tcn_p096r_preTEI.xml,,ms-xml/tl/tl_p096r_preTEI.xml
8 ab,,8 ab,,8 ab
2 add,,2 add,,2 add
11 al,,11 al,,11 al
1 bp,,1 bp,,1 bp
2 cn,,1 cn,,2 cn
1 comment,,1 comment,,4 comment
1 div,,1 corr,,1 corr
7 exp,,1 div,,1 div
35 lb,,7 exp,,4 fr
29 m,,35 lb,,29 m
4 ms,,29 m,,4 ms
2 pa,,3 ms,,2 pa
3 pro,,2 pa,,4 pro
1 root,,3 pro,,1 root
9 tl,,1 root,,9 tl
1 tmp,,9 tl,,1 tmp
4 wp,,1 tmp,,
,,5 wp,,
ms-xml/tc/tc_p096v_preTEI.xml,,ms-xml/tcn/tcn_p096v_preTEI.xml,,ms-xml/tl/tl_p096v_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,2 add
3 del,,3 del,,1 comment
1 df,,1 df,,2 del
3 div,,3 div,,1 df
1 env,,1 env,,3 div
2 exp,,2 exp,,1 env
3 head,,3 head,,3 head
32 lb,,32 lb,,16 m
16 m,,16 m,,2 ms
2 ms,,2 ms,,2 pa
2 pa,,2 pa,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,5 tl
5 tl,,5 tl,,2 tmp
2 tmp,,2 tmp,,
ms-xml/tc/tc_p097r_preTEI.xml,,ms-xml/tcn/tcn_p097r_preTEI.xml,,ms-xml/tl/tl_p097r_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,1 add
2 bp,,2 bp,,2 bp
1 cn,,1 cn,,1 cn
6 del,,6 del,,4 comment
3 div,,3 div,,6 del
12 exp,,12 exp,,3 div
3 head,,3 head,,3 fr
1 ill,,1 ill,,3 head
28 lb,,28 lb,,1 ill
20 m,,20 m,,19 m
1 ms,,1 ms,,1 ms
1 oc,,1 oc,,1 oc
1 pro,,1 pro,,1 pro
1 root,,1 root,,1 root
1 sn,,1 sn,,1 sn
1 sup,,1 sup,,11 tl
10 tl,,11 tl,,
3 ups,,,,
ms-xml/tc/tc_p097v_preTEI.xml,,ms-xml/tcn/tcn_p097v_preTEI.xml,,ms-xml/tl/tl_p097v_preTEI.xml
8 ab,,8 ab,,8 ab
1 al,,1 al,,1 al
3 bp,,3 bp,,3 bp
1 comment,,1 comment,,1 comment
2 del,,2 corr,,2 del
2 div,,2 del,,2 div
8 exp,,2 div,,1 fr
2 head,,9 exp,,2 head
62 lb,,2 head,,32 m
32 m,,62 lb,,5 ms
5 ms,,32 m,,3 pa
3 pa,,5 ms,,1 pl
