folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
028v	p028v_1	Pintiers	Pintiers	Pewterers		CONTAINS FIGURE				genoils		mine;bonnes villes;champs	estain;souldure;estaim commun;fer;estain dangleterre;plomb;plomb fin;estaim fin;estaim de glace;rosette;pierre porte morte;grais;estaim;charbons;eau;estaing est fin;estaim est bas	lb;quintal		angleterre;allemaigne		Pintiers;minerons;Maistres pintiers jures;aultres qui travaillent aulx champs	sonnante	grille;tour;cassolle dest de fer;cueillere de fer;moules froids;moules;linge		
029r	p029r_1	Stuc pour mouler	Stuc pour mouler	Stucco for molding								a lair;au serain	Stuc;gomme dragant;eau;gelee;mabre;farine de Segle;celle de froment;farine;pain;la paste du pain;huile;colle forte;colle de paste;or;plastre;plombe;croye;ceruse;bol;stuc	jour;jours	Segle;froment	romme				mabre;four;broisse;vaisseau plombe		
029v	p029v_1	Couleur dor sans or sur largent	Couleur d'or sans or sur l'argent	Color of gold without gold on silver									or;argent;argent de foeille;terre emerita;vernis daspic;sandaraque;or bel		aspic							
029v	p029v_2	Couche dor bruny sur le papier	Couche d'or bruny sur le papier	Layer of burnished gold on paper									or bruny;papier;amydon;eau;or;eau clere damydon;papier simple									
029v	p029v_3	Oster taches	Oster taches	Removing stains									bonne eau de vye									
029v	p029v_4	Assiete dor	Assiete d'or	Ground layer of gold									or;Terra emerita;safran;colle forte;linge							linge		
029v	p029v_5	Extraction dhuiles	Extraction d'huiles	Extraction of oils									huiles					apothicaires		mortier		
029v	p029v_6	Sang de dragon	Sang de dragon	Dragon's blood		CONTAINS FIGURE			dragon				Sang de dragon;verre;eau de vye;lie de vin;or;bon sang de dragon;esmail rouge cler;rubis;plus obscur sang de dragon;poix;noisettes;eau de vye commune;eau fort;eau;gomme dragant;sang de dragon;or bruny;vernis de tourmentine	suffisante quantite;longuement	poix;noisettes					bouteille de verre;tapon de la bouteille		
030r	p030r_1	Plomb	Plomb	Lead						bras;doigts			Plomb	saulmon;lattes;bras;doigts		allemaigne;lyon;Noremberg						
030r	p030r_2	Pintier	Pintier	Pewterer			continued		cheval		frans		metal;grais;terre ardille blanche;fiente de cheval;bourre;terre;souldure;fer					Pintier;riches		moules;moule;moule de grais;moules de metal;moules de grais;marteler;roue de fer		
030v	p030r_2						continued	continues		petit doigt;main			fer;potee;cuir;bois;estain	petit doigt						marteau;roue;souldouer;raspe;desgrusoue;desgrusouer;corde;barre;esgrusouer;main;fer coupant;plane;cloue;costeau;fer tranchant		
031r	p030r_2							continues					pouldre desmery;potee							marteaulx;enclumes		
031r	p031r_1	Nouvelle vigne	Nouvelle vigne	New vine					pigeon				fiente de pigeon	poignees	vigne							
031r	p031r_2	Eaulx coulourees	Eaulx coulourees	Colored waters									urine distillee;vinaigre distille;eau de vye;aes ustum pulverise et subtilement broye;cuivre rouge							filtre		
031r	p031r_3	Vernis durant a leau	Vernis durant à l'eau	Varnish resistant to water								a la pluye	Vernis;eau;vernis de flandres;tourmentine;huile;mastic;huile de noix blanche			flandres						
031r	p031r_4	Fruict de sucre	Fruict de sucre	Fruit made from sugar						doigt			sucre							pinceau;doigt		
031v	p031v_1	Painctre	Painctre	Painter								humidite	laque;jaulne doeuf;glaire doeuf;rouges de mine;huile					Painctre;scribes				
031v	p031v_2	Broisses	Broisses	Broisses									chaulx vive;chaulx					blanchisseur s		Broisses		
031v	p031v_3	Paindre au naturel	Paindre au naturel	Painting after nature								temps obscur										
031v	p031v_4	Paindre daprest	Paindre d'aprest	Paindre d’aprest									azur desmail;escaille;roquaille;noir descaille;verre;papier blanc;papier	patenostres						escaille		
032r	p032r_1	Corps de cuirasse	Corps de cuirasse	The body of the cuirass												milan		maistres		marteau		
032r	p032r_2	Painctre	Painctre	Painter									destrempe;huile			flamans		Painctre				
032r	p032r_3	Pour coucher lor a destrempe	Pour coucher l'or à destrempe	For layering gold in distemper								a la pluye	or;batture;colle de menusier;eau;miel;dorer;sucre candy;sanguine;cocon;savon	gouttes				scribes;painctres;menusier		pinceau		
032v	p032v_1	Faiseur de natte	Faiseur de natte	Mat maker								paroy des chambres	paille;pailles;taincture;taincture du pastel;pastel;alum;bresil;coupperose	largeur de dix b pailles;leste;lhyver	pastel;bresil	thoulouse		Faiseur de natte;villageois				
032v	p032v_2	Vitrier	Vitrier	Glassmaker									rouge dallemaigne;sanguine;estain de glace;rocaille;litharge;escaille de fer;verre			allemaigne		Vitrier				
032v	p032v_3	Fondeur	Fondeur	Founder		CONTAINS FIGURE					lb		rosette;laicton;grands metaulx;estain de cloche;estaim fin;plomb qui est doulx;laicton aigry par la calamine;calamine;cuivre rouge;metal qui est matiere de cloche;estain;argent;souldure;eau;fine rosette de per chauldronier;metal;Or;cuivre;leton;fer	quintal		allemaigne		Fondeur;chauldronier;fondeurs				
033r	p033r_1	Cousteau pour couper le nes ou un doict	Cousteau pour couper le nes ou un doict	Knife for cutting the nose or a finger		CONTAINS FIGURE				nes;doict;doigt;cuisse;main;visage;mains			rosette de bresil;jus de cerises noires	dos dun costeau	cerises noires			Maistre gonnin;spectateurs	mal	Cousteau;cousteau bien fourby;cloue;manche;cousteau;clou;costeau		
033r	p033r_2	fig_p033r_3 https://drive.google.com/open?id=0B9-oNrvWdlO5TXhGbkNoNTFHZ0E Pour rallumer une chandelle estainte entre les mains sans soufler	fig_p033r_3 https://drive.google.com/open?id=0B9-oNrvWdlO5TXhGbkNoNTFHZ0E Pour rallumer une chandelle estainte entre les mains sans soufler	fig_p033r_3 https://drive.google.com/open?id=0B9-oNrvWdlO5TXhGbkNoNTFHZ0E To relight an extinguished candle between your hands without blowing		CONTAINS FIGURE				mains;indice;grand doigt;doigts;paulmes			ouzier entre bien sec;osier;ozier	comme un curedant						chandelle;baston douzier entre bien sec;curedant		
033v	p033v_1	Pour fayre sembler que a quelquun quil aura une piece dargent au front	Pour fayre sembler que à quelqu’un qu’il aura une piece d’argent au front	To make it seem that to someone that he has a piece of silver on his forehead						front;mains;teste;main;pouse;salive;oreilles			argent;salive					assistant	froideur	piece dargent;gecton		
033v	p033v_2	Pour fayre sortir du front de quelquun du sang ou du vin ou dune muraille	Pour fayre sortir du front de quelqu’un du sang ou du vin, ou d’une muraille	For making blood or wine issue from someone's forehead or from a wall		CONTAINS FIGURE				front;sang;petit doigt;poulce;main;teste		muraille	sang;vin;fer blanc;rosette liquide de bresil;just de cerises noires;air;verre		cerises noires			assistans;pelerin	taster	ambu;entonnouer de fer blanc;poincon arrondy par le bout & qui entre dans son manche;verre		
034r	p034r_1	Pour dire a quelquun que mettant tenant le doit tousjours au front tu lempescheras de sortir dune chambre	Pour dire à quelqu’un que, mettant tenant le doit tousjours au front, tu l’empescheras de sortir d’une chambre	To tell someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber		CONTAINS FIGURE				doit;front;embrasser;bras;doigt		chambre								quenoille du lict		
034r	p034r_2	XGaiger a quelqueun que se promenant jusques a tel lieu et en revenir il ne dira point quattre fois de suite botte sans esperon	XGaiger a quelque’un que se promenant jusques à tel lieu et en revenir, il ne dira point quattre fois de suite botte sans esperon	XWager someone e that walking to a certain place and back, he cannot say boot without spurs four times in a row		CONTAINS FIGURE													hault			
034r	p034r_3	Faire tenir un chandellier contre la muraille sans y fayre trou	Faire tenir un chandellier contre la muraille sans y fayre trou	To make a candlestick hold to the wall without making a hole in it		CONTAINS FIGURE						muraille						vallet		chandellier		
034r	p034r_4	XNe casser point un verre dune busche ou dun gros baston	XNe casser point un verre d’une busche ou d’un gros baston	XHow not to break a glass with a log or a large stick		CONTAINS FIGURE							verre	comme un curedent						verre;busche;gros baston;curedent		
034r	p034r_5	Escripre subtillement	Escripre subtillement	Writing cunningly									parchemin subtil;grosse toile					messager		chemisse de grosse toile		
034v	p034v_1	Pour fayre fondre ou transmuer une bague mise dans une boitte	Pour fayre fondre ou transmuer une bague mise dans une boitte	For melting or transmuting a jewel put inside a box		CONTAINS FIGURE				doigt indice;doigts			buys;cuir;pouldre dor ou dargent;mercure;argent							bague;boitte;boitte de buys rayee a cercles;petite boicte;grande boicte;boicte;couvercle de cuir rond de la longueur de la boicte;boictes;table;boicte de cuir;grand boite		
035r	p035r_1	Pour dire a quelquun que tu luy monstreras enseigneras une chose quil ne scait pas ne toy aussy	Pour dire a quelqu’un que tu luy monstreras enseigneras une chose qu’il ne sçait pas ne toy aussy	To tell someone that you will show teach him something he does not know, and neither do you						oreille;nes				despuys le bout de loreille jusques au bout de son nes						fisselle;petit baston		
035r	p035r_2	Pour fayre soubstenir un seau deau sur la poincte couchee de trois cousteaulx sans toucher a terre	Pour fayre soubstenir un seau d’eau sur la poincte couchée de trois cousteaulx sans toucher à terre	To support a bucket of water on the tips of three knives laid down without touching the ground		CONTAINS FIGURE						de cuisine								seau;cousteaulx;costeaulx ou de cuisine ou de table;piques avecq des soliveaulx;poinctes dhalebarde;costeau		
035r	p035r_3	Pour faire bouillir sans foeu dans de leau froide un oeuf	Pour faire bouillir sans foeu dans de l’eau froide un oeuf	For boiling an egg in cold water without fire						doigts			eau froide;oeuf;œuf;chaulx vive;soufre vif;cire;eau	doigts								
035r	p035r_4	Pour faire sortir les connils dun terrier	Pour faire sortir les connils d’un terrier	For making rabbits come out of a burrow					connils			terrier;terriers	brassier;soufre							pot		
035v	p035v_1	Pour garder quelquun de ne manger dune viande	Pour garder quelqu’un de ne manger d’une viande	For preventing someone from eating a foodstuff									viande;racine de pied de veau;jarus		pied de veau;jarus		Mathiol					
035v	p035v_2	Pour fayre transmuer du bled dun vaisseau a aultre	Pour fayre transmuer du bled d’un vaisseau à aultre	For transmuting grain from one vessel to another		CONTAINS FIGURE	continued						bled;boys;grains de bled;amydon;grain;cuir;cuir blanc	de pareille grandeur;de lespesseur dun dos de cousteau ou plus;en la capacite dun des boisseaulx	bled;grain			Maistre gonin		vaisseau;petits boisseaulx de boys;cousteau;cloche de boys;piece de cuir;cloche;sac;serviette;mouchouer plie;gibessiere de Maistre gonin;boisseau;chapeau;table;cuir blanc de la couleur du boys		
036r	p035v_2							continues												sac;gibbessiere		
036r	p036r_1	Pour fayre transmuer une boule en un de a couldre subtil	Pour fayre transmuer une boule en un dé à couldre, subtil	For transmuting a ball into a thimble, cunning		CONTAINS FIGURE			vache	doits;doigt;petit doit;annulaire;main droite	liard		cuir;cuyr simple comme de vache ou marroquin;buys;pouldre doribus	hault de trois doits;de telle largeur que deulx pointes de doigt;de la largeur dun double liard	buys					boule;de a couldre;petit estuy de cuyr simple comme de vache ou marroquin;boules de buys;estuy de cuir;table;pillotte;baston;pelotte;petit doit;annulaire;main droite;moule de cuir;de;estuy		
036v	p036v_1	Fondeur	Fondeur	Founder									metal duquel les cloches se font;letton;calamine;boys					Fondeur;fondables eurs	mauvays goust a la viande;puant;mauvaise odeur	four a vent;creuset;four a boys;four a souflets;souflets		
036v	p036v_2	Four a vent	Four à vent	Four à vent																Four a vent;creuset;tenailles		
036v	p036v_3	Verre de vitriers	Verre de vitriers	Glassmakers' glass									Verre de vitriers;verre de bien;cendre de feugiere;caillous;pierre;fer;verre de plat;salicor;verre		feugiere;salicor	lorraine;flandres;angleterre;rouan;France		vitriers;ouvrier		pierre;platene;four;verge de fer;chandelle;plan;fer chault		
037r	p037r_1	Fondeur	Fondeur	Founder									metal;estaing;crasse;cuivre;salpestre					Fondeur		marteau		
037r	p037r_2	Medecine pour lestomach qui leschaufe et desopile le foye	Medecine pour l'estomach qui l'eschaufe et desopile le foye	Medicine for the stomach which heats it and unstops the liver						estomach;foye;doigt;estomac			absinthe en pouldre;cirop de capilli veneris ou de confitures;ostie trempee de vin;vin trempe suffisamment;grains de poyvre	une foys la sepmaine;doigt;grains	absinthe;capilli veneris;poyvre							
037r	p037r_3	Foeilles pour le les pierreries	Foeilles pour le les pierreries	Leaves for the gemstones									pierreries;fer;metal							caisse de fer ne de metal		
037r	p037r_4	Pour garder que les chandelles ne degoutent et les fayre blanches	Pour garder que les chandelles ne degoutent et les fayre blanches	For keeping candles from dripping and making them white									eau fresche;son;farine;eau							moule		
037v	p037v_1	Jardinier	Jardinier	Gardener					rats mulots	doits;doigts;pousse			terre fort deliee;decoction dabsinthe	deux doits en deulx doigts;espesseur dun pousse	melons;bled			Jardinier		piquet		
037v	p037v_2	Vitrier	Vitrier	Glassmaker						nes;bouche;alene			gris descaille;verre;noir a huile;bois;graisse;esmaulx;esmail dazur;esmail colombin;rocaille;verre de plomb;argent;sanguine;noir descaille;sanguine claire					Vitrier;vitrier	puanteur			
037v	p037v_3	Ambre jaulne	Ambre jaulne	Yellow Amber						doigt			Ambre jaulne;sel pulverise;ponce pulverisee;arene;ambre;tripoli de bretaigne;cuir;urine	nuict		anglois;bretaigne				lime;corde;tripoli de bretaigne;doigt;cuir;cane		
038r	p038r_1	Saphir	Saphir	Sapphire									Saphir;saphirs;pierreries;taffre;esmail azure fort cler;saphir;beril			Saint denis	charlemaigne	roy		lime		
038r	p038r_2	Safran	Safran	Saffron								au plus chault soleil	Safran;foeilles de soucy a demy seiches & retorses comme un fil		Safran;soucy							
038r	p038r_3	Saphir	Saphir	Sapphire								eglises	Saphir;vittres antiques;saphir;esmery;saphirs;esmail dazur;argent;eaulx marines;verre blanc;verre					tailleurs de pierre				
038r	p038r_4	Ambre	Ambre	Amber								cheminee;lieu clos	Ambre;ambre transparent;saul;bois dous;eau;tripoly de bretaigne;suye;fumee;fient;os;fumer;fumee du safre;manganese;drogues;urine;vinaigre distille;vapeur deau fort;cuivre;eau fort;argent;sel armoniac;ambre;potee;esmery;jayet;sel appelle de langlois de armonic;sel mineral;pierre de mabre;lexive;eau corrosive;sapin;boix douls		sapin	saul;bretaigne;langlois;cardonne;monserrat				lime;roue;baston de saul;roue de bois dous		
038v	p038v_1	Couleur noire pour taindre	Couleur noire pour taindre	Black color for dyeing									taindre;lessive de chaulx vive;litharge;taincture tanee;lessive de chaulx									
038v	p038v_2	Contre seignee du nes et pour taincture	Contre seignee du nés et pour taincture	Against nose bleeding and for dyeing					dragon	nes;front			taincture;vinete;lapathum acutum;sang de dragon		vinete;lapathum acutum					Pile	seignee du nes;front de celuy qui seigne	
038v	p038v_3	Beaulx artichaulx	Beaulx artichaulx	Beautiful artichokes										tous les ans;seconde annee	artichaulx							
038v	p038v_4	Planter abres	Planter abres	Planting trees					bœuf								Saint paul					
