folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
121v	p121v_2	Argent a gecter	Argent a gecter	Silver for casting							teston;sols		Argent;poinct argent fin ains allie;souldure;argent de teston;argent allie;argent;terre;terre areneuse;bourre dequoy les fondeurs se servent pour gecter leurs canons;bon luth;fil de fer;argent de Capitale;or;cendres	sols le denier		Capitale		fondeurs;orfevres		moules;fil de fer		
122r	p122r_1	Plant des animaulx divers	Plant des animaulx divers	Arranging various animals		CONTAINS FIGURE			lesardes;serpents				cire;fil de fer							table;grosse aiguille;fil de fer chault par le bout;chassis;moule;poincte dun trancheplume;fil de fer		
122r	p122r_2	Fleur en la bouche du serpent	Fleur en la bouche du serpent	Flower in the mouth of the snake		CONTAINS FIGURE			serpent	main			cire;fil de fer		absinthe					bout dun fil de fer qui soict chault;main;filet;esguille	contrepoison	
122v	p122v_1	Nettoyer lescuelle et la cueillere dequoy on destrempe le sable	Nettoyer l’escuelle et la cueillere de quoy on destrempe le sable	Cleaning the bowl and the spoon with which one wets the sand																escuelle;cueillere;pallette;cuillere;moule		
122v	p122v_2	Mouler en creux	Mouler en creux	Molding hollow					escrevisses				cire;suif;ardille							moule;platine dardille		
122v	p122v_3	Mouler medailles et choses plattes	Mouler medailles et choses plattes	Molding medals and flat things		CONTAINS FIGURE							papier;metal									
123r	p123r_1	Moyen di far correr lotnegra	Moyen di far correr l’otnegra	A means di far correr otnegra		CONTAINS FIGURE	continued			visaige;nes;bouche;yeulx	sols		otnegra;arsenic blanc;Orpiment;arsenic jaulne;Aes ustum;Limaille de cuivre fin;Antimoyne;Sal gemme;Tartre crud;Suin de verre;Salpestre;Sel gros commun fondu;Sublime;Borras;Sel armoniac;borras;arsenic;sublime;orpiment;fil de fer;terre fiens ou terre bourre de laquelle les fondeurs dartiglerie se servent;verre pile;luth;soulder;souldure;acier rompu	unces;℥;moictie;moitie;aultant que de borras;quarte ou cinquiesme partye;heures;denier;sols				fondeurs dartiglerie;orfevres;ceulx qui travaillent de vaissele & grosserie		crusol;tuyle;fil de fer;creuset	la fumee en est dangereuse	
123v	p123r_1							continues	serpents	bouche;visage;yeulx		boutique	luth;salpestre;rostie au beurre;beurre;zedoaire;pieces dor;argent;metallique;argent fondu;estaim fin;cuivre;estaim de glace;plomb;estaim;sels sublimes;limailles;aes ustum;antimoyne;sels;grain metallic;metal fondu;souldure;letton;souldent	bon matin;heures;jour naturel;matin;tout un jour	zedoaire			rustique;garson de boutique;orfevres		crusol;four a vent;serviette;fourneau	les fumees qui sont dangereuses te pourroient nuire	
124r	p124r_1	Animaulx a poil et fleurs foibles et fort tanvres	Animaulx à poil et fleurs foibles et fort tanvres	Animals with hair and fragile and very thin flowers					papillons			vent	huile de froment;huile		froment;dent de Lyon;papus;lapasses							
124r	p124r_2	Noyaulx pour mouler creus	Noyaulx pour mouler creus	Noyaulx for molding hollow									or;argent							moule		
124r	p124r_3	Toile d'iraignee	Toile d'iraignee	Spider’s web					iraignee;iraigne			aulx champs	eau;quarton;papier colle sur le quarton;estaim bien peu allie de plomb							quarton;poincte;papier colle sur le quarton		
124r	p124r_4	Or fin	Or fin	Fine gold									Or fin;or;eau fort;antimoyne;verdet;plomb							marteau		
124v	p124v_1	Esmail Rouge clair	Esmail rouge clair	Rouge clair @ enamel							escu;pistolet		Esmail;Rouge clair;or fin;or;esmauls;esmaulx;rouge clair;arene;grains dor					orfevres				
124v	p124v_2	Gecter en or	Gecter en or	Casting with gold									or;cire;terre;or fin;or allie;argent;eau;plomb;esmeraulde;estaim;chaulx diceulx	un quart plus pesant que				orfevres		moules;pot;four de reverberation;moule;forge		
124v	p124v_3	Moyen de fayre le gect pour petites lezardes	Moyen de fayre le gect pour petites lezardes	A means to make the gate for small female lizards		CONTAINS FIGURE	continued		lezardes;serpent				metal;cire;fil de fer	espesseur dun costeau						fil de fer chault;bout du fil de fer chault;moule;costeau		
125r	p124v_3					CONTAINS FIGURE		continues					cire;metal							moule		
125r	p125r_1	Plastre	Plastre	Plaster		CONTAINS FIGURE						sur les maisons	Plastre;cire;plastre;pierre;plastre gris transparent;celuy est bon qui estant destrempe est blanc;huiler;eau;eau chaulde;eau froide			allemaigne				mortier;moule;moules de plastre		
125r	p125r_2	Symeterres	Symeterres	Scimitars								mines;mine	fer;acier;fer fondu;fer douls			damas;hongrie;turcs		ouvriers				
125r	p125r_3	Ouyr de loing	Ouyr de loing	Hearing from afar						oreille									Ouyr;entendras			
125r	p125r_4	Secret	Secret	Secret																		
125v	p125v_1	Viperes et serpens	Viperes et serpens	Vipers and snakes					Viperes;serpens;vipere;serpent;aspic cornu;cochon;chien;serpents													
125v	p125v_2	Mouler tortues	Mouler tortues	Molding turtles					tortues;serpents				plastre;sucre									
125v	p125v_3	Plastre pour gect de cire	Plastre pour gect de cire	Plaster for casting in wax		CONTAINS FIGURE							Plastre;cire;plastre;eau chaulde;metal;albastre							moule de plastre;moule		
126r	p126r_1	Mouler fruicts en sucre et animaulx	Mouler fruicts en sucre et animaulx	Molding fruits and animals in sugar		CONTAINS FIGURE							sucre;plastre;eau;cirop;cire;terre;ardille;metal;eau froide;amydon;amande	nuict;jour;tout un jour et une nuict	raisin;raisins;chauches;sauvignons;poires;pommes;amande					moule de plastre;moules;plaste;plaste dardille;moule;amande		
126v	p126v_1	Crocum ferri	Crocum ferri	Crocum ferri							sols		Crocum ferri;rouille de fer;limaille;vinaigre;rouille;cendres;crocum;or	once						moules;moule		
126v	p126v_2	Plastre	Plastre	Plaster									Plastre;boys;cire;plastre							moules		
126v	p126v_3	Herbes difficilles abrusler dans le noyau	Herbes difficilles à brusler dans le noyau	Plants difficult to burn in the noyau			continued						boys;charbon;cendre;terre		asperge;tim;rosmarin					molle;moule;moules;cercle de terre		
127r	p126v_3							continues					charbon;cire;huile de petrol;de soufre;tourmentine;huile de brique;eaulx forts;eaulx de vye;crocum;escaille de fer;fer;esmeri;os des animaulx;cendre;chair;os;vif argent	jours	asperge;tim					moule		
127r	p127r_1	Moule de plastre pour cire	Moule de plastre pour cire	Molds of plaster for wax		CONTAINS FIGURE							plastre;cire							Moule de plastre;moule de plastre;moule		
127v	p127v_1	Terre des fondeurs	Terre des fondeurs	Founder's earth		CONTAINS FIGURE						a lair	Terre des fondeurs;terre bolvene;fiens;bourre;luter;argent;os;cendres;plastre;eau de vye;brique;alum;culs de crusols;lutte;terre susdicte des fondeurs;cendre;lute;charbons;braise;terre de laquelle les fondeurs se servent pour braser ou soulder;soulder;terre ardille areneuse;ardille;terre;Fil de fer;Lute;crocum;Lutes			bolvene		fondeurs		moules;crampons;moule;moles;forge;tamisee;Fil de fer;four de reverberation;molles;tuelle;souflet		
128r	p128r_1	Gecter en argent et or	Gecter en argent et or	Casting in silver and gold		CONTAINS FIGURE	continued			doigts			argent;or;metaulx;pierrete de borras pulverisee;metal;charbons;borras;arsenic & deulx foys aultant de tartre crud grossierement pulverises;acier;argent fondu;or et largent fondus;estain;crocum;alum de plume;argent allie;argent sophistique;arsenic;orpiment	doigts;grosseur dune noisette;deulx foys aultant	noisette					crusol;molles;moule;molletes;forge;souflet;mollettes;tuelle;cruset;moules;four		
128v	p128r_1							continues			realle		vif argent;sable maigre;cendre;argent bien fondu;argent;argent plus fin que la ligue du capital et comme de realle;borras;argent fondu;or;charbons	grosseur dun pois	pois	capital		orfevres		terrine;vaisseau;molettes;moule;forge;molletes;souflet		
128v	p128v_1	Blanchiment de largent gecte	Blanchiment de l’argent gecté	Whitening of cast silver		CONTAINS FIGURE			lesard		teston		argent;tartre;sel commun;ligue de teston;sel commun pulverise;eau commune;papier;eau du bullitoyre;sel;tarte;charbons;eau claire;cuivre;or;eau de tartre;tartre brusle	presque autant dun que daultre		allemands;france;Allemand		orfevres		commun bullitoyre;bullitoyre;forge;grattebroissa;papier;crusol;vaisseau		
129r	p129r_1	Paindre herbes de metal	Paindre herbes de metal	Painting metal herbs									metal;gomme;huile;glaire;pelure de figuier		figuier							
129r	p129r_2	Pour santonique	Pour santonique	For wormseed									vert de terre;blanc de plomb;ceruse;massicot;scudegrun;cendre dazur		santonique							
129r	p129r_3	Couleur de vipere	Couleur de vipere	Viper color		CONTAINS FIGURE			vipere;serpent;lesard				verdegris;vinaigre;plomb;estain;soufre;linge;metalline;argent	demy balle dharquebus						linge rude		
129r	p129r_4	Roses moulees	Roses moulées	Molded roses					mouches				huile de froment		Roses;froment;pensees;caprier							
129v	p129v_1	Animaulx seiches au four de longue duree	Animaulx seichés au four de longue durée	Animals dried in the oven for a long time					serpents;oyseaulx			soleil de juin	terre;fil de fer;pain	asses chault comme quand on en tire le pain;un iour & une nuict;comme la chaleur du soleil de juin					puant	four;plastre de terre;poinctes de fil de fer;pinceau;broisse		
129v	p129v_2	Animaulx gectes en cuivre	Animaulx gectés en cuivre	Animals cast in copper									cuivre;foeilles de pierrerie									
129v	p129v_3	Advis sur le gect	Advis sur le gect	Advice about casting						doigts			metal									
129v	p129v_4	Yraigne moulee sur une foeille	Yraignemoulée sur une foeille	Spider molded on a leaf		CONTAINS FIGURE			Yraigne;serpents;poisson;iraigne				huile de fromant;vinaigre;urine;eau de vye;poil de bourre subtil;colle de poisson;verdet;soufre;ardile;fil de fer ou de letton;fil de letton;cire;fil de fer;terre		fromant;vigne					bougie;tamise;plastre dardile;poincte de fil de fer ou de letton;poinctes de fil de letton;pointe dun fil de fer;molettes;fil de fer;trancheplume;cercle de terre;moule		
130r	p130r_1	Animaulx seches au four	Animaulx sechés au four	Animals dried in an oven		CONTAINS FIGURE			chats;rats			au soleil	poinctes de fer;fil de fer;plomb;cire;ancre bien gommee;ardille							four;petit baston;poinctes de fer;petite table;petits aneaulx de fil de fer;balles de plomb ou de cire		
130r	p130r_2	Pour rougir les escrevisses vives qui sembleront bouillies	Pour rougir les escrevisses vives, qui sembleront bouillies	For reddening live crayfish, which will seem boiled					escrevisses				fort bon vinaigre;eau de vye									
130r	p130r_3	Mouler une yraigne seule	Mouler une yraigne seule	Molding a single spider					yraigne;iraigne;yraignes				argille;huile de froment		vigne;froment					plaste dargille		
130r	p130r_4	Mouler une feuille de vigne seule	Mouler une feuille de vigne seule	Molding a single vine leaf									fil de fer letton;ardille		vigne					poinctes de fil de fer letton;plaste dardille;moule		
130v	p130v_1	Mouler un chancre	Mouler un chancre	Molding a crab					chancre;serpents;escrevisse				cendre;vif argent							moule;trancheplume		
130v	p130v_2	Cerf volant	Cerf volant	Stag beetle					Cerf volant;chancre													
130v	p130v_3	@Pour mouler tanvre	@Pour mouler tanvre	For molding thin									cire;paste;beurre;huile							molle;moule		
