1 root,,1 root,,1 root
5 tl,,5 tl,,5 tl
ms-xml/tc/tc_p010v_preTEI.xml,,ms-xml/tcn/tcn_p010v_preTEI.xml,,ms-xml/tl/tl_p010v_preTEI.xml
4 ab,,4 ab,,4 ab
1 add,,1 add,,1 add
1 al,,1 al,,1 al
1 del,,1 del,,1 del
4 div,,4 div,,4 div
1 exp,,1 exp,,1 fr
4 head,,4 head,,4 head
19 lb,,19 lb,,25 m
25 m,,25 m,,1 ms
1 ms,,1 ms,,1 root
1 root,,1 root,,1 tl
1 tl,,1 tl,,
ms-xml/tc/tc_p011r_preTEI.xml,,ms-xml/tcn/tcn_p011r_preTEI.xml,,ms-xml/tl/tl_p011r_preTEI.xml
3 ab,,3 ab,,3 ab
3 add,,3 add,,3 add
1 bp,,1 bp,,1 bp
5 del,,5 del,,1 comment
1 df,,1 df,,5 del
1 div,,1 div,,1 df
1 env,,1 env,,1 div
5 exp,,5 exp,,1 env
1 head,,1 head,,6 fr
1 ill,,1 ill,,1 head
34 lb,,35 lb,,1 ill
32 m,,32 m,,32 m
1 pl,,1 pl,,1 pl
1 pro,,1 pro,,1 pro
1 root,,1 root,,1 root
12 tl,,12 tl,,12 tl
ms-xml/tc/tc_p011v_preTEI.xml,,ms-xml/tcn/tcn_p011v_preTEI.xml,,ms-xml/tl/tl_p011v_preTEI.xml
5 ab,,5 ab,,5 ab
1 al,,1 al,,1 al
2 bp,,2 bp,,3 bp
1 comment,,1 comment,,4 del
4 del,,4 del,,5 div
5 div,,5 div,,1 env
5 exp,,5 exp,,3 fr
1 gap,,1 gap,,1 gap
5 head,,5 head,,5 head
17 lb,,17 lb,,28 m
28 m,,28 m,,1 md
1 md,,1 md,,1 oc
1 oc,,1 oc,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,12 tl
12 tl,,12 tl,,1 tmp
2 tmp,,2 tmp,,
ms-xml/tc/tc_p012r_preTEI.xml,,ms-xml/tcn/tcn_p012r_preTEI.xml,,ms-xml/tl/tl_p012r_preTEI.xml
7 ab,,7 ab,,7 ab
1 al,,1 al,,1 add
2 bp,,2 bp,,1 al
1 comment,,1 comment,,2 bp
4 del,,1 corr,,1 comment
1 df,,4 del,,1 corr
4 div,,1 df,,4 del
3 env,,4 div,,1 df
10 exp,,3 env,,4 div
4 head,,10 exp,,3 env
2 ill,,4 head,,6 fr
61 lb,,2 ill,,4 head
36 m,,61 lb,,2 ill
2 mark,,36 m,,38 m
1 ms,,2 mark,,2 mark
1 oc,,1 ms,,1 ms
1 pa,,1 oc,,1 oc
1 pl,,1 pa,,1 pa
2 pro,,1 pl,,1 pl
1 root,,2 pro,,2 pro
10 tl,,1 root,,1 root
1 tmp,,10 tl,,10 tl
ms-xml/tc/tc_p012v_preTEI.xml,,ms-xml/tcn/tcn_p012v_preTEI.xml,,ms-xml/tl/tl_p012v_preTEI.xml
4 ab,,4 ab,,4 ab
1 add,,1 add,,1 add
1 bp,,1 bp,,1 bp
2 comment,,1 comment,,2 comment
4 del,,1 corr,,4 del
3 div,,4 del,,3 div
1 env,,3 div,,1 env
9 exp,,1 env,,3 fr
3 head,,9 exp,,3 head
30 lb,,3 head,,26 m
26 m,,30 lb,,1 pl
1 pl,,26 m,,3 pro
3 pro,,1 pl,,1 root
1 root,,3 pro,,10 tl
10 tl,,1 root,,
4 ups,,10 tl,,
ms-xml/tc/tc_p013r_preTEI.xml,,ms-xml/tcn/tcn_p013r_preTEI.xml,,ms-xml/tl/tl_p013r_preTEI.xml
5 ab,,5 ab,,5 ab
2 al,,2 al,,2 al
2 del,,2 del,,1 comment
5 div,,5 div,,2 del
4 exp,,4 exp,,5 div
4 head,,4 head,,2 fr
1 la,,1 la,,4 head
24 lb,,24 lb,,1 la
35 m,,35 m,,36 m
1 pro,,1 pro,,1 pro
1 root,,1 root,,1 root
12 tl,,12 tl,,12 tl
ms-xml/tc/tc_p013v_preTEI.xml,,ms-xml/tcn/tcn_p013v_preTEI.xml,,ms-xml/tl/tl_p013v_preTEI.xml
6 ab,,6 ab,,6 ab
6 al,,6 al,,6 al
1 bp,,1 bp,,1 bp
2 comment,,2 comment,,4 comment
2 del,,1 corr,,1 corr
6 div,,2 del,,2 del
2 el,,6 div,,6 div
2 env,,2 el,,2 el
1 exp,,2 env,,2 env
5 head,,1 exp,,3 fr
20 lb,,5 head,,5 head
11 m,,20 lb,,11 m
2 md,,11 m,,2 md
1 oc,,2 md,,1 oc
3 pro,,1 oc,,3 pro
1 root,,3 pro,,1 root
4 tl,,1 root,,4 tl
1 tmp,,4 tl,,1 tmp
,,1 tmp,,
ms-xml/tc/tc_p014r_preTEI.xml,,ms-xml/tcn/tcn_p014r_preTEI.xml,,ms-xml/tl/tl_p014r_preTEI.xml
1 ab,,1 ab,,1 ab
1 add,,1 add,,1 add
1 al,,1 al,,1 al
1 bp,,1 bp,,1 bp
2 comment,,3 comment,,3 comment
7 del,,2 corr,,2 corr
1 div,,7 del,,6 del
8 env,,1 div,,1 div
3 exp,,8 env,,7 env
1 figure,,3 exp,,1 figure
1 head,,1 figure,,5 fr
32 lb,,1 head,,1 head
22 m,,33 lb,,22 m
1 mark,,22 m,,1 mark
1 ms,,1 mark,,1 ms
3 pa,,1 ms,,3 pa
3 po,,3 pa,,3 po
1 pro,,3 po,,1 pro
1 root,,1 pro,,1 root
8 tl,,1 root,,9 tl
,,8 tl,,
ms-xml/tc/tc_p014v_preTEI.xml,,ms-xml/tcn/tcn_p014v_preTEI.xml,,ms-xml/tl/tl_p014v_preTEI.xml
1 div,,1 div,,1 div
1 root,,1 root,,1 root
ms-xml/tc/tc_p015r_preTEI.xml,,ms-xml/tcn/tcn_p015r_preTEI.xml,,ms-xml/tl/tl_p015r_preTEI.xml
4 ab,,4 ab,,4 ab
1 add,,1 add,,1 add
1 al,,1 al,,1 al
3 comment,,1 comment,,1 comment
7 del,,7 del,,6 del
3 div,,3 div,,3 div
3 exp,,4 exp,,3 fr
3 head,,3 head,,3 head
31 lb,,31 lb,,40 m
38 m,,38 m,,3 mark
3 mark,,3 mark,,1 ms
1 ms,,1 ms,,2 pa
2 pa,,2 pa,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,2 tl
2 tl,,2 tl,,1 wp
1 wp,,1 wp,,
ms-xml/tc/tc_p015v_preTEI.xml,,ms-xml/tcn/tcn_p015v_preTEI.xml,,ms-xml/tl/tl_p015v_preTEI.xml
6 ab,,6 ab,,6 ab
1 al,,1 al,,1 al
10 bp,,10 bp,,10 bp
1 comment,,2 corr,,3 comment
3 del,,4 del,,2 corr
1 df,,1 df,,4 del
6 div,,6 div,,1 df
3 exp,,3 exp,,6 div
6 head,,6 head,,2 fr
20 lb,,20 lb,,6 head
23 m,,22 m,,22 m
4 md,,4 md,,4 md
1 ms,,1 ms,,1 ms
1 oc,,1 oc,,1 oc
2 pa,,2 pa,,2 pa
1 po,,1 po,,1 po
1 root,,1 root,,1 root
5 tl,,5 tl,,5 tl
1 tmp,,1 tmp,,1 tmp
ms-xml/tc/tc_p016r_preTEI.xml,,ms-xml/tcn/tcn_p016r_preTEI.xml,,ms-xml/tl/tl_p016r_preTEI.xml
5 ab,,5 ab,,5 ab
1 bp,,1 bp,,1 bp
1 comment,,1 comment,,1 comment
6 del,,6 del,,6 del
1 div,,1 div,,1 div
5 exp,,5 exp,,1 figure
1 figure,,1 figure,,8 fr
1 head,,1 head,,1 head
58 lb,,58 lb,,15 m
14 m,,14 m,,12 ms
12 ms,,12 ms,,1 pa
1 pa,,1 pa,,4 pro
4 pro,,4 pro,,1 root
1 root,,1 root,,26 tl
24 tl,,25 tl,,
1 wp,,,,
ms-xml/tc/tc_p016v_preTEI.xml,,ms-xml/tcn/tcn_p016v_preTEI.xml,,ms-xml/tl/tl_p016v_preTEI.xml
6 ab,,6 ab,,6 ab
1 bp,,1 bp,,1 bp
3 comment,,3 comment,,5 comment
6 del,,1 corr,,6 del
6 div,,7 del,,6 div
1 env,,6 div,,1 env
8 exp,,1 env,,4 fr
5 head,,8 exp,,5 head
29 lb,,5 head,,20 m
20 m,,29 lb,,3 md
3 md,,19 m,,6 ms
6 ms,,3 md,,4 pa
4 pa,,6 ms,,1 pl
1 pl,,4 pa,,1 pro
1 pro,,1 pl,,1 root
1 root,,1 pro,,16 tl
16 tl,,1 root,,1 tmp
1 tmp,,1 sup,,
,,16 tl,,
,,1 tmp,,
ms-xml/tc/tc_p017r_preTEI.xml,,ms-xml/tcn/tcn_p017r_preTEI.xml,,ms-xml/tl/tl_p017r_preTEI.xml
7 ab,,7 ab,,7 ab
2 add,,2 add,,2 add
1 al,,1 al,,1 al
1 cn,,1 cn,,1 cn
3 comment,,2 comment,,2 comment
14 del,,14 del,,13 del
3 df,,3 df,,3 df
1 div,,1 div,,1 div
4 env,,4 env,,4 env
10 exp,,10 exp,,13 fr
1 head,,1 head,,1 head
1 ill,,1 ill,,1 ill
73 lb,,73 lb,,12 m
12 m,,12 m,,22 ms
22 ms,,22 ms,,3 pl
3 pl,,3 pl,,5 pn
5 pn,,5 pn,,6 pro
6 pro,,6 pro,,1 root
1 root,,1 root,,1 tmp
1 tmp,,1 tmp,,14 wp
9 ups,,1 ups,,
20 wp,,19 wp,,
ms-xml/tc/tc_p017v_preTEI.xml,,ms-xml/tcn/tcn_p017v_preTEI.xml,,ms-xml/tl/tl_p017v_preTEI.xml
6 ab,,6 ab,,6 ab
3 add,,3 add,,3 add
1 al,,1 al,,1 al
3 cn,,3 cn,,3 cn
2 comment,,1 comment,,4 comment
15 del,,15 del,,15 del
1 div,,1 div,,1 div
3 env,,3 env,,3 env
13 exp,,13 exp,,15 fr
69 lb,,69 lb,,22 m
22 m,,22 m,,3 mark
3 mark,,3 mark,,29 ms
29 ms,,29 ms,,2 pl
2 pl,,2 pl,,2 pn
2 pn,,2 pn,,4 pro
4 pro,,4 pro,,1 root
1 root,,1 root,,2 sn
2 sn,,2 sn,,5 tl
5 tl,,5 tl,,2 tmp
2 tmp,,2 tmp,,13 wp
12 wp,,13 wp,,
ms-xml/tc/tc_p018r_preTEI.xml,,ms-xml/tcn/tcn_p018r_preTEI.xml,,ms-xml/tl/tl_p018r_preTEI.xml
6 ab,,6 ab,,6 ab
8 add,,10 add,,8 add
2 al,,2 al,,2 al
1 bp,,1 bp,,1 bp
3 comment,,2 comment,,3 comment
13 del,,1 corr,,1 corr
